unnormalised,naive,normalised
-0.6885235039396634,-0.9606407014605852,-0.9606407014605853
-0.8978504819131827,-1.042338937311869,-1.0410777394561355
-1.1001626379705112,-1.1592981661273212,-1.1592694767657061
-1.2825908433610989,-1.3115121096608628,-1.311384880286019
-1.4438281103813495,-1.4609254354385806,-1.4605234015988005
-1.5858161460865188,-1.5973019262395167,-1.596788968500594
-1.7113158142040383,-1.7197425782352977,-1.719240226445094
-1.8230200862123391,-1.8296172173535694,-1.8291725921353563
-1.9232614103248336,-1.9286885713100776,-1.9283108229750043
-2.013945547198958,-2.018584631000201,-2.018268574082065
-2.096601775278832,-2.100686925692419,-2.1004233943819144
