unnormalised,naive,normalised
-0.3912615081756673,-0.677425340973836,-0.677425340973836
-0.642779265470263,-0.8263674452780995,-0.8260354124479691
-0.8658890893646085,-0.9166186135870675,-0.9163418992471914
-1.0568892505330425,-1.072654316962836,-1.0731035811313117
-1.223439757443688,-1.2301544670795423,-1.2305741914380899
-1.3694620932286967,-1.3739012367698367,-1.3742025142852805
-1.4980254023225295,-1.5019384350338512,-1.5021526906123475
-1.6120487072876049,-1.6158572451414355,-1.6160133104719698
-1.7140610333557527,-1.7178486401985629,-1.7179651163948795
-1.8061304883773435,-1.8099049628511727,-1.809993837641045
-1.8899015990316947,-1.8936584227556847,-1.8937275726216618
