unnormalised,naive,normalised
-0.15535699816432155,-0.2457777539066009,-0.24577775390660098
-0.400632965928974,-0.39414417752170444,-0.3918099278226599
-0.6983184494152965,-0.6221968860929877,-0.6221418053437838
-1.0024327794346506,-0.9245841798890219,-0.9243360283516073
-1.289908913985492,-1.2239544616254958,-1.2231715177676115
-1.552648246325654,-1.4976329932569052,-1.4966387538940757
-1.7898881476178392,-1.7433126339863323,-1.7423425752096764
-2.0038912616613964,-1.9637552186588656,-1.9628990206006462
-2.197655062840147,-2.162521587028654,-2.1617960890456973
-2.3740399394470164,-2.3428778872137026,-2.3422726055395846
-2.535536513489939,-2.5075910771918974,-2.5070879731339795
