DG,Order_1,DG_limiter,QBDRAP
-0.010213656800949178,-0.010213656800949178,-0.19430645758625958,-0.011074621651347835
-1.2204237716839013,-0.18859182011340614,-0.5715525353834778,-0.2744755171371223
-2.029491587734091,-0.3082702609245566,-0.9071179327651352,-0.5209171793960463
-2.1315636573018777,-0.39764244601827686,-1.1006374085663915,-0.7247970427182331
-2.186581529857895,-0.47044067086505953,-1.2321543934797785,-0.8911256065109071
-2.2422505440181753,-0.5319751432254265,-1.3431658431492748,-1.0323103098203092
-2.290917370486591,-0.5854195703400309,-1.4498912075685086,-1.154055341899819
-2.3373835679626414,-0.6326219229000788,-1.525441195412742,-1.2603910532340654
-2.3771148105634405,-0.6740525641645421,-1.5892642430516362,-1.3542862492507992
-2.414829562764219,-0.7109190754642437,-1.6415792280928858,-1.4371853225196887
-2.44883715345168,-0.7446797471440064,-1.6918937380494095,-1.5109660962346152
