DG,Order_1,DG_limiter,QBDRAP
-0.6963458810042809,-0.6963458810042809,-0.6963458810042809,-0.6934450395021129
-2.9056250970413,-0.9935251021778292,-1.6053041817564895,-1.1458921139156601
-3.9615429314586925,-1.1956309236850442,-2.1871119860569044,-1.5880255529223402
-4.057497430152746,-1.353590781411722,-2.5620064943510887,-1.9697572237166616
-4.140063478173601,-1.4844692429143906,-2.8333519851118805,-2.295689547288674
-4.218099715968438,-1.5965008240051608,-3.053569182883222,-2.5744194822956232
-4.286972407423207,-1.694704920543246,-3.240898274839032,-2.812552351991994
-4.348135338801193,-1.7822748413009044,-3.3694931554925893,-3.016135369323701
-4.403527599622568,-1.8611392021991426,-3.4830295956106756,-3.1901908938995147
-4.453433905593615,-1.93304104887422,-3.5670351015504287,-3.33883804848864
-4.498500458102574,-1.9990614968535554,-3.6415291427907754,-3.46569850466712
