DG,DG_limit,Unif,QBDRAP
0.019582626490896926,0.0,0.019582626490896926,0.01679394178557797
0.0009732307259531481,0.0,0.00799176281890832,0.005636836168041943
0.000969191585338036,0.0,0.00518268173281365,0.0033721150499721494
0.0009691924615473232,0.0,0.003949403084352424,0.002325056927424426
0.0009691924540178663,0.0,0.0032777164925750215,0.001816852377262343
0.0009691924568198289,0.0,0.0028485570772609275,0.001558301428494063
0.0009691924463315886,0.0,0.0025623290784408705,0.0013938959233285725
0.0009691924520516608,0.0,0.002355035954889086,0.0012915967825774099
0.0009691924071255335,0.0,0.002191179372412178,0.0012212453992811565
0.0009691924948286667,0.0,0.0020591757233869457,0.0011709048124521975
0.0009691925410082332,0.0,0.001956954223409827,0.0011347618251367458
