DG,DG_limit,Unif,QBDRAP
0.03240235767217373,0.0,0.03240235767217373,0.032402357672039965
0.0006075390009826695,0.0,0.013236569993921806,0.010151036111109905
0.0006011543774943895,0.0,0.008386161689405293,0.005196227718557968
0.0006011554892387597,0.0,0.0061782719013257666,0.0030141274641596496
0.0006011554854455405,0.0,0.004916017716652243,0.002038829328866808
0.000601155486838853,0.0,0.00409908141475172,0.0015429673585592794
0.0006011554817264217,0.0,0.003527153704635657,0.0012626588556864347
0.0006011554840342943,0.0,0.0031043909359021564,0.0011024277131121724
0.0006011554619285674,0.0,0.0027791713166787947,0.0009927205149955563
0.0006011555054278375,0.0,0.002522184107045942,0.0009144284569112707
0.0006011555286058422,0.0,0.002320377965034856,0.0008583958449483034
