DG,DG_limit,Order_1,QBDRAP
0.032993987672173805,0.0,0.032993987672173805,0.03299398767204004
0.001222665783927725,0.0,0.013828199993921875,0.010743996111110073
0.0012162318366376872,0.0,0.008981411260327355,0.0058232371836452225
0.0012162329653878955,0.0,0.006780531901325913,0.003700736280573917
0.0012162329614999368,0.0,0.005535317716652407,0.002724299741204666
0.0012162329629427646,0.0,0.004733056431368453,0.0022454673585595793
0.0012162329577091865,0.0,0.004180917123132289,0.0019371560556307123
0.0012162329601200354,0.0,0.0037798412595648583,0.0017579807571292104
0.0012162329374784653,0.0,0.003462222652710238,0.0016353070007956159
0.0012162329820107004,0.0,0.0032098896823618945,0.001554024588704578
0.0012162330057357842,0.0,0.003018792406133324,0.0014911904810775013
