DG,DG_limit,Unif,QBDRAP
0.03181086767217395,0.0,0.03181086767217395,0.03181086767204018
0.00038231089940376025,0.0,0.012659999993921905,0.009559546111110127
0.00037949859081229577,0.0,0.007822911689405526,0.0046531843159153775
0.0003794991593718244,0.0,0.005621041901325868,0.0025413668715576934
0.000379499163105451,0.0,0.0043770152440855735,0.0016144559014780399
0.0003794991617054646,0.0,0.0035816889317612675,0.0011561321482885943
0.0003794991671061903,0.0,0.003039212657818673,0.00088060724631163
0.00037949916420800515,0.0,0.0026389528555470143,0.0007261218950866983
0.00037949918687142214,0.0,0.002348227206936298,0.000619740474555597
0.00037949914221998334,0.0,0.0021139220008630577,0.000561570283665245
0.00037949911851667807,0.0,0.001925576036259817,0.0005060536601202011
