DG,DG_limit,Unif,QBDRAP
0.019304516171979074,0.0,0.019304516171979074,0.016517804252871263
0.0005399514263113203,0.0,0.0077115892336072234,0.005356350281339249
0.0005359280216573742,0.0,0.004892308672197271,0.0030176215846084977
0.0005359288952371491,0.0,0.0036224025910792986,0.001913941039289104
0.0005359288877023569,0.0,0.0029103484363611656,0.0013928142516328027
0.0005359288905070452,0.0,0.002466974522499285,0.001129934985183603
0.0005359288800106774,0.0,0.002165396070014628,0.0009638611522705049
0.0005359288857342408,0.0,0.001943853457924298,0.0008604986251864081
0.0005359288407723238,0.0,0.001775348950176847,0.0007895562882040622
0.0005359289285454423,0.0,0.001642961392814079,0.000738862584468045
0.0005359289747594641,0.0,0.0015361584839151384,0.0007024949267132529
