DG,Unif,QBDRAP
-0.17282112676344555,-0.17282112676344555,-0.1123207772000362
-1.2317659634664393,-0.6079865836775082,-0.3260408010414659
-2.7480397890351234,-0.826115891186548,-0.5588271886947944
-3.236695004284472,-0.9711346356170203,-0.7507034958448766
-3.1839197691836456,-1.0798226757975382,-0.9100484132582255
-3.1349871926438366,-1.1667501646127778,-1.0441074438382638
-3.0951358093703196,-1.239197664288146,-1.1579310395430378
-3.061763503807918,-1.3012884406903336,-1.2567530136113862
-3.033239926839807,-1.3555732693587281,-1.3440246859923168
-3.008493387876249,-1.4038464763620373,-1.4220915519319035
-2.98683084464239,-1.4472772932429714,-1.4926326690665357
