DG,Unif,QBDRAP
-0.6595808554058732,-0.6595808554058732,-0.5901594917329402
-2.191506720997367,-1.5639800630409926,-0.8663572936560946
-3.7603887438940466,-2.003519496169071,-1.1680041584454481
-3.8018748098320834,-2.294885791230235,-1.3959517800746364
-3.8018748216193012,-2.513026453165839,-1.578405046350094
-3.801874835943821,-2.6874353419367356,-1.7305033949665092
-3.8018748532470843,-2.832756849709713,-1.8604180908875239
-3.801874873472747,-2.9573293261878346,-1.973565354599983
-3.801874896574164,-3.0663527445483743,-2.073750501314627
-3.8018749225313555,-3.163288943433875,-2.163630977828093
-3.8018749512822008,-3.250558600393907,-2.2451230513325102
