DG,Unif,QBDRAP
-0.18231093912412236,-0.18231093912412236,-0.06806145464797547
-2.3227133313795063,-0.9011302331802039,-0.4490001516088307
-5.384600798419366,-1.3190003958456948,-0.8210231101019155
-5.920103924106588,-1.6036565309025979,-1.1260871616342614
-5.701805621069686,-1.8187465363491786,-1.3761108379142848
-5.5280661958691875,-1.9914556197798439,-1.5845777183200183
-5.384081870754017,-2.135734395476781,-1.7620219222969387
-5.261349325499813,-2.2595375690261137,-1.9157752474781358
-5.154584613267736,-2.3678019355423188,-2.0509328244026843
-5.060278247794922,-2.4641706593178028,-2.1711276596079583
-4.97597969091812,-2.5508691331905764,-2.279046549782574
