x,phase_1,phase_2
0.0,0.0,0.0
0.001,0.0002888,0.000289
0.002,0.0005874,0.000584
0.003,0.0008866,0.0008764
0.004,0.0011836,0.0011662
0.005,0.0014798,0.0014572
0.006,0.0017866,0.0017314
0.007,0.0020702,0.0020202
0.008,0.0023674,0.0023412
0.009,0.0026608,0.0026522
0.01,0.0029434,0.0029464
0.011,0.0032426,0.0032242
0.012,0.0035244,0.0035138
0.013,0.0038182,0.0038136
0.014,0.0041148,0.0040946
0.015,0.0044142,0.0043632
0.016,0.0047174,0.004635
0.017,0.0050154,0.0049028
0.018,0.0053124,0.005192
0.019,0.005594,0.0054784
0.02,0.0058776,0.005766
0.021,0.0061572,0.0060532
0.022,0.006451,0.0063388
0.023,0.0067344,0.0066338
0.024,0.0070118,0.0069128
0.025,0.007318,0.007198
0.026,0.0076014,0.0074936
0.027,0.0079074,0.0077742
0.028,0.0081968,0.0080532
0.029,0.0084858,0.0083316
0.03,0.0087842,0.008607
0.031,0.0090722,0.0089062
0.032,0.0093482,0.009207
0.033,0.0096316,0.0094902
0.034,0.0099132,0.009774
0.035,0.0102122,0.0100784
0.036,0.0104924,0.0103694
0.037,0.010792,0.0106618
0.038,0.011077,0.0109532
0.039,0.0113664,0.0112442
0.04,0.0116594,0.0115282
0.041,0.011958,0.0118156
0.042,0.012265,0.012119
0.043,0.0125662,0.0124344
0.044,0.0128506,0.0127002
0.045,0.0131526,0.0129934
0.046,0.0134484,0.0132816
0.047,0.0137558,0.0135782
0.048,0.0140282,0.0138668
0.049,0.0143092,0.0141502
0.05,0.0146078,0.0144468
0.051,0.0149104,0.014723
0.052,0.0152074,0.0150202
0.053,0.015493,0.0152812
0.054,0.0157838,0.015561
0.055,0.0160874,0.0158398
0.056,0.0163746,0.0161112
0.057,0.0166568,0.016378
0.058,0.0169508,0.0166574
0.059,0.0172414,0.0169392
0.06,0.0175314,0.0172134
0.061,0.0178192,0.0174946
0.062,0.0181238,0.0177794
0.063,0.0184122,0.0180682
0.064,0.0186932,0.0183572
0.065,0.0189898,0.0186444
0.066,0.0192756,0.018903
0.067,0.0195716,0.0191982
0.068,0.01986,0.0194844
0.069,0.02014,0.0197646
0.07,0.0204436,0.0200422
0.071,0.0207292,0.0203228
0.072,0.0210124,0.0205984
0.073,0.0212928,0.0208856
0.074,0.0215864,0.0211734
0.075,0.0218812,0.021462
0.076,0.0221704,0.0217378
0.077,0.022471,0.0220278
0.078,0.0227704,0.0223044
0.079,0.023068,0.022589
0.08,0.023345,0.0228848
0.081,0.0236402,0.023166
0.082,0.0239332,0.0234402
0.083,0.0242102,0.0237218
0.084,0.0244868,0.0239888
0.085,0.0247774,0.0242782
0.086,0.0250768,0.024572
0.087,0.025356,0.0248458
0.088,0.0256426,0.0251252
0.089,0.0259446,0.0253978
0.09,0.0262346,0.0256744
0.091,0.0265364,0.0259516
0.092,0.0268278,0.0262182
0.093,0.0271282,0.0265024
0.094,0.0274224,0.026782
0.095,0.0277238,0.0270632
0.096,0.0280172,0.027349
0.097,0.0283194,0.0276164
0.098,0.0286138,0.0278738
0.099,0.0289172,0.0281618
0.1,0.029214,0.0284702
0.101,0.0295046,0.028774
0.102,0.029805,0.0290526
0.103,0.0301222,0.0293266
0.104,0.0304114,0.0296206
0.105,0.0307014,0.029904
0.106,0.0309966,0.0301736
0.107,0.0313014,0.030482
0.108,0.0315968,0.0307404
0.109,0.0318824,0.0310108
0.11,0.0321776,0.0312822
0.111,0.032466,0.031565
0.112,0.0327478,0.0318256
0.113,0.0330404,0.0320914
0.114,0.0333258,0.032379
0.115,0.0336156,0.0326302
0.116,0.0339026,0.0329128
0.117,0.0341982,0.0331762
0.118,0.0344826,0.0334496
0.119,0.0347686,0.0337178
0.12,0.0350478,0.0340022
0.121,0.035342,0.0342882
0.122,0.0356154,0.0345652
0.123,0.0358902,0.0348344
0.124,0.0361914,0.0351178
0.125,0.0364872,0.0354024
0.126,0.0367926,0.035705
0.127,0.0370834,0.0359796
0.128,0.0373636,0.036255
0.129,0.0376614,0.0365206
0.13,0.0379524,0.0367964
0.131,0.0382664,0.0370882
0.132,0.0385672,0.037353
0.133,0.0388686,0.0376298
0.134,0.0391722,0.037892
0.135,0.0394512,0.0381554
0.136,0.0397402,0.0384378
0.137,0.0400284,0.0387364
0.138,0.0403388,0.0390014
0.139,0.0406376,0.0392818
0.14,0.0409438,0.0395694
0.141,0.0412318,0.0398544
0.142,0.0415136,0.0401276
0.143,0.0418124,0.0403994
0.144,0.0421158,0.0406772
0.145,0.0424226,0.0409602
0.146,0.0427016,0.041248
0.147,0.0429994,0.041549
0.148,0.043303,0.0418326
0.149,0.0435922,0.0421014
0.15,0.043872,0.042385
0.151,0.0441518,0.0426688
0.152,0.0444562,0.0429544
0.153,0.0447534,0.0432316
0.154,0.0450474,0.043503
0.155,0.045358,0.0437764
0.156,0.04566,0.044047
0.157,0.0459538,0.0443376
0.158,0.0462464,0.0446084
0.159,0.0465276,0.0448798
0.16,0.0468064,0.045165
0.161,0.047098,0.0454392
0.162,0.0473744,0.0457202
0.163,0.0476594,0.045991
0.164,0.0479416,0.046277
0.165,0.0482222,0.0465486
0.166,0.0485036,0.0468208
0.167,0.0487868,0.0470988
0.168,0.0490916,0.0473782
0.169,0.0493758,0.047653
0.17,0.0496764,0.0479194
0.171,0.0499674,0.0482046
0.172,0.0502666,0.0484786
0.173,0.0505682,0.0487694
0.174,0.0508638,0.0490456
0.175,0.0511448,0.0493052
0.176,0.0514438,0.0495888
0.177,0.0517182,0.0498466
0.178,0.0519992,0.0501054
0.179,0.0522986,0.050358
0.18,0.0525904,0.0506408
0.181,0.0529036,0.0509036
0.182,0.053187,0.051183
0.183,0.0534816,0.051464
0.184,0.053785,0.0517372
0.185,0.0540716,0.052018
0.186,0.0543634,0.0522854
0.187,0.0546548,0.0525616
0.188,0.0549368,0.052842
0.189,0.0552354,0.0531138
0.19,0.055523,0.053376
0.191,0.0558196,0.053648
0.192,0.0561012,0.0538998
0.193,0.0563746,0.054174
0.194,0.0566618,0.054459
0.195,0.0569622,0.0547386
0.196,0.0572804,0.0550078
0.197,0.057562,0.0552834
0.198,0.0578506,0.0555646
0.199,0.0581444,0.055841
