x,phase_1,phase_2
0.0,0.0,0.0
0.001,0.0002914,0.0002848
0.002,0.0005808,0.0005812
0.003,0.000881,0.0008692
0.004,0.0011626,0.0011688
0.005,0.001464,0.0014534
0.006,0.0017616,0.0017362
0.007,0.0020394,0.002023
0.008,0.00233,0.0023204
0.009,0.0026116,0.0026408
0.01,0.0028922,0.0029494
0.011,0.00318,0.0032398
0.012,0.0034748,0.0035296
0.013,0.0037774,0.003826
0.014,0.0040618,0.0041236
0.015,0.0043556,0.0043972
0.016,0.0046542,0.0046738
0.017,0.0049354,0.0049524
0.018,0.005232,0.005241
0.019,0.0055268,0.005531
0.02,0.0058062,0.0058168
0.021,0.0060966,0.0060998
0.022,0.0063782,0.0063826
0.023,0.006675,0.0066554
0.024,0.0069582,0.006947
0.025,0.0072672,0.0072332
0.026,0.007544,0.0075276
0.027,0.0078218,0.007818
0.028,0.0081134,0.0081018
0.029,0.0083954,0.0084068
0.03,0.0086846,0.0086952
0.031,0.008974,0.008977
0.032,0.0092578,0.0092864
0.033,0.0095494,0.009556
0.034,0.0098256,0.0098398
0.035,0.0101212,0.0101326
0.036,0.0104028,0.010408
0.037,0.0106942,0.0106984
0.038,0.010974,0.010994
0.039,0.0112516,0.0112874
0.04,0.0115418,0.0115734
0.041,0.0118472,0.0118634
0.042,0.0121572,0.0121562
0.043,0.0124444,0.0124644
0.044,0.0127348,0.012732
0.045,0.0130198,0.0130212
0.046,0.0133074,0.01331
0.047,0.0136206,0.0135996
0.048,0.013895,0.0138752
0.049,0.0141782,0.0141574
0.05,0.0144726,0.0144302
0.051,0.0147556,0.0147298
0.052,0.0150446,0.0150168
0.053,0.0153346,0.0153
0.054,0.0156314,0.0155874
0.055,0.0159232,0.0158924
0.056,0.0162132,0.0161802
0.057,0.016486,0.0164512
0.058,0.01677,0.0167348
0.059,0.0170812,0.0170026
0.06,0.0173632,0.0172828
0.061,0.0176516,0.0175696
0.062,0.0179592,0.0178522
0.063,0.0182598,0.0181506
0.064,0.0185372,0.0184358
0.065,0.0188268,0.0187206
0.066,0.0191006,0.0189932
0.067,0.0193978,0.0192836
0.068,0.01968,0.0195738
0.069,0.0199594,0.0198578
0.07,0.0202538,0.0201296
0.071,0.0205472,0.0204028
0.072,0.0208364,0.020659
0.073,0.021107,0.0209436
0.074,0.0214146,0.0212352
0.075,0.0216936,0.021529
0.076,0.0219732,0.021801
0.077,0.0222666,0.0220872
0.078,0.0225442,0.022376
0.079,0.0228464,0.0226602
0.08,0.0231196,0.0229494
0.081,0.0234148,0.02323
0.082,0.0236984,0.0235084
0.083,0.0239888,0.0238052
0.084,0.0242672,0.0240666
0.085,0.0245718,0.024349
0.086,0.024873,0.024653
0.087,0.0251652,0.0249374
0.088,0.0254558,0.0252268
0.089,0.0257406,0.0254948
0.09,0.0260124,0.0257616
0.091,0.026318,0.0260386
0.092,0.0266166,0.026305
0.093,0.026906,0.0265814
0.094,0.027198,0.02686
0.095,0.0275072,0.027135
