x,phase_1,phase_2
0.0,0.0,0.0
0.001,0.0002968,0.000288
0.002,0.000601,0.0005726
0.003,0.0008878,0.0008504
0.004,0.0011666,0.0011448
0.005,0.0014584,0.001427
0.006,0.0017628,0.001709
0.007,0.0020446,0.0020056
0.008,0.0023382,0.0023098
0.009,0.0026226,0.0026374
0.01,0.0029098,0.002935
0.011,0.003201,0.0032198
0.012,0.0034876,0.003532
0.013,0.0037746,0.0038204
0.014,0.0040758,0.0041168
0.015,0.0043674,0.0044122
0.016,0.0046616,0.0046962
0.017,0.0049602,0.004984
0.018,0.0052354,0.005274
0.019,0.0055222,0.0055632
0.02,0.0058066,0.0058428
0.021,0.0060968,0.0061122
0.022,0.0063756,0.006398
0.023,0.0066574,0.0066812
0.024,0.006936,0.0069688
0.025,0.0072308,0.0072438
0.026,0.0075086,0.0075266
0.027,0.0078012,0.0078228
0.028,0.0080932,0.0081188
0.029,0.0083792,0.0084088
0.03,0.0086678,0.0086972
0.031,0.0089552,0.0090014
0.032,0.0092392,0.0093058
0.033,0.0095146,0.0095742
0.034,0.009785,0.0098564
0.035,0.0100864,0.0101606
0.036,0.0103616,0.010433
0.037,0.010653,0.0107136
0.038,0.0109212,0.011011
0.039,0.011216,0.0113052
0.04,0.0115058,0.0115862
0.041,0.0118068,0.0118706
0.042,0.0121072,0.012163
0.043,0.012401,0.0124768
0.044,0.0126886,0.0127502
0.045,0.0129766,0.0130392
0.046,0.0132766,0.0133306
0.047,0.0136076,0.0136152
0.048,0.0138848,0.0138966
0.049,0.0141754,0.0141818
0.05,0.0144726,0.0144646
0.051,0.0147492,0.0147516
0.052,0.0150472,0.0150516
0.053,0.0153334,0.0153458
0.054,0.0156148,0.0156242
0.055,0.015899,0.0159234
0.056,0.0161968,0.0162092
0.057,0.0164846,0.0164962
0.058,0.0167774,0.016763
0.059,0.017067,0.0170472
0.06,0.0173406,0.01731
0.061,0.0176212,0.0175908
0.062,0.0179202,0.0178862
0.063,0.018217,0.018177
0.064,0.0184884,0.0184714
0.065,0.0187728,0.0187458
0.066,0.0190526,0.0190204
0.067,0.0193466,0.0193166
0.068,0.0196286,0.0196058
0.069,0.0199058,0.0198956
0.07,0.0202082,0.0201744
0.071,0.0204972,0.0204558
0.072,0.0207846,0.0207298
0.073,0.0210738,0.0210172
0.074,0.021377,0.0213074
0.075,0.0216698,0.021595
0.076,0.0219466,0.02188
0.077,0.0222388,0.0221662
0.078,0.0225416,0.0224426
0.079,0.0228394,0.0227202
0.08,0.0231262,0.0230132
0.081,0.0234148,0.0233072
0.082,0.0237108,0.023598
0.083,0.024004,0.0238822
0.084,0.0242886,0.024148
0.085,0.0245882,0.0244268
0.086,0.0248936,0.0247178
0.087,0.0251734,0.0249894
0.088,0.025483,0.0252562
0.089,0.0257764,0.0255546
0.09,0.0260518,0.0258332
0.091,0.0263556,0.0261068
0.092,0.0266444,0.026383
0.093,0.0269292,0.0266614
0.094,0.0272194,0.0269484
0.095,0.0275066,0.0272416
0.096,0.0277806,0.0275234
0.097,0.028063,0.0278022
0.098,0.0283602,0.0280728
0.099,0.0286584,0.0283404
0.1,0.0289578,0.0286296
0.101,0.0292378,0.0289302
0.102,0.0295156,0.0292362
0.103,0.0298282,0.0295028
0.104,0.0301274,0.029792
0.105,0.030422,0.0300806
0.106,0.0307218,0.0303502
0.107,0.0310296,0.0306302
0.108,0.0313194,0.0308966
0.109,0.0315968,0.031172
0.11,0.031893,0.0314636
