x,phase_1,phase_2
0.0,0.0,0.0
0.001,0.0002894,0.0002824
0.002,0.0005936,0.0005722
0.003,0.000895,0.0008496
0.004,0.0011666,0.0011556
0.005,0.001453,0.0014316
0.006,0.0017438,0.0017198
0.007,0.0020372,0.0020072
0.008,0.0023294,0.002301
0.009,0.0026136,0.0026112
0.01,0.0029054,0.0029224
0.011,0.0032158,0.0031976
0.012,0.0035002,0.003494
0.013,0.0037738,0.0037818
0.014,0.004077,0.0040708
0.015,0.004365,0.0043586
0.016,0.0046628,0.0046498
0.017,0.004945,0.0049458
0.018,0.0052364,0.0052256
0.019,0.0055334,0.005511
0.02,0.0058148,0.0058038
0.021,0.0061108,0.006077
0.022,0.0063828,0.006356
0.023,0.006668,0.0066388
0.024,0.0069408,0.0069288
0.025,0.0072334,0.0072138
0.026,0.0075052,0.0074988
0.027,0.0077934,0.0077844
0.028,0.008087,0.0080682
0.029,0.008373,0.0083462
0.03,0.0086758,0.0086248
0.031,0.0089598,0.0089264
0.032,0.0092266,0.0092366
0.033,0.0095,0.0095186
0.034,0.0097772,0.0097838
0.035,0.0100694,0.0100668
0.036,0.010353,0.010349
0.037,0.0106548,0.0106292
0.038,0.0109352,0.0109342
0.039,0.011226,0.0112288
0.04,0.0115224,0.0115244
0.041,0.0118172,0.0118112
0.042,0.0121266,0.0121032
0.043,0.0124034,0.0124124
0.044,0.0126834,0.0126726
0.045,0.0129646,0.0129662
0.046,0.0132462,0.013253
0.047,0.0135534,0.0135346
0.048,0.0138252,0.0138206
0.049,0.0141018,0.0141052
0.05,0.0144106,0.0143922
0.051,0.0146972,0.0146642
0.052,0.015001,0.0149606
0.053,0.0152902,0.015234
0.054,0.015577,0.0155158
0.055,0.0158634,0.0158232
0.056,0.0161462,0.0161096
0.057,0.0164256,0.0163944
0.058,0.016701,0.0166696
0.059,0.016997,0.016954
0.06,0.0172806,0.0172246
0.061,0.0175646,0.0174998
0.062,0.0178572,0.0177842
0.063,0.0181472,0.0180752
0.064,0.0184322,0.0183746
0.065,0.018725,0.018656
0.066,0.0190028,0.0189258
0.067,0.0192916,0.019214
0.068,0.0195774,0.0195036
0.069,0.0198508,0.0197986
0.07,0.0201464,0.0200844
0.071,0.0204252,0.0203732
0.072,0.0207152,0.0206376
0.073,0.0210066,0.0209214
0.074,0.0213276,0.0212194
0.075,0.0216142,0.0215084
0.076,0.021895,0.0217864
0.077,0.0221938,0.0220842
0.078,0.0224952,0.022378
0.079,0.0228024,0.0226576
0.08,0.0230876,0.0229666
0.081,0.0233788,0.023263
0.082,0.0236688,0.0235484
0.083,0.0239578,0.0238444
0.084,0.0242326,0.024115
0.085,0.0245188,0.0243896
0.086,0.0248296,0.024684
0.087,0.0251216,0.024972
0.088,0.0254136,0.0252534
0.089,0.0256958,0.0255292
0.09,0.0259672,0.0257976
0.091,0.0262656,0.0260756
0.092,0.0265562,0.0263578
0.093,0.0268388,0.0266534
0.094,0.027116,0.0269284
0.095,0.0274128,0.0272048
0.096,0.0276924,0.0275004
0.097,0.0279848,0.0277712
0.098,0.028304,0.028043
0.099,0.0286058,0.0283212
0.1,0.028893,0.0286094
0.101,0.029189,0.0289012
0.102,0.0294868,0.029188
0.103,0.029798,0.029454
0.104,0.0300802,0.0297418
0.105,0.0303746,0.0300316
0.106,0.0306636,0.030295
0.107,0.030958,0.0306008
0.108,0.0312542,0.030863
0.109,0.0315286,0.0311366
0.11,0.0318358,0.0314064
0.111,0.0321288,0.0316814
0.112,0.032426,0.0319512
0.113,0.0327178,0.0322338
0.114,0.0330096,0.0325404
0.115,0.0333,0.0328088
0.116,0.0335692,0.0330874
0.117,0.0338752,0.0333546
0.118,0.0341768,0.0336242
0.119,0.0344796,0.0338954
0.12,0.034772,0.0341764
0.121,0.0350702,0.0344456
0.122,0.035355,0.0347286
0.123,0.035645,0.0350016
0.124,0.0359366,0.0352802
0.125,0.0362338,0.0355694
0.126,0.0365218,0.0358674
0.127,0.0368242,0.0361636
0.128,0.0371092,0.0364348
0.129,0.0374012,0.0367066
0.13,0.0376806,0.0369888
0.131,0.0379754,0.0372708
0.132,0.0382576,0.0375388
0.133,0.0385496,0.0378236
0.134,0.0388396,0.0380874
0.135,0.0391254,0.0383702
0.136,0.0394052,0.0386422
0.137,0.0396886,0.0389402
0.138,0.0399904,0.0392078
0.139,0.0402826,0.0394916
