x,phase_1,phase_2
0.0,0.0,0.0
0.001,0.0003062,0.0002822
0.002,0.0006016,0.000569
0.003,0.0009008,0.0008484
0.004,0.001179,0.0011344
0.005,0.0014746,0.001414
0.006,0.0017996,0.0017016
0.007,0.0020872,0.0019866
0.008,0.0023936,0.0022936
0.009,0.0026848,0.0026026
0.01,0.0029764,0.0028968
0.011,0.0032626,0.0031836
0.012,0.0035592,0.0035018
0.013,0.003853,0.0038064
0.014,0.0041448,0.0040984
0.015,0.0044382,0.0043862
0.016,0.004733,0.0046596
0.017,0.0050308,0.0049612
0.018,0.0053086,0.0052498
0.019,0.0055864,0.0055244
0.02,0.0058664,0.0058118
0.021,0.006149,0.0060884
0.022,0.0064412,0.0063722
0.023,0.0067386,0.0066404
0.024,0.007018,0.006921
0.025,0.0073284,0.0072056
0.026,0.0076174,0.0074922
0.027,0.0078932,0.0077692
0.028,0.008185,0.0080456
0.029,0.0084578,0.008347
0.03,0.0087572,0.0086374
0.031,0.009039,0.0089298
0.032,0.0093244,0.0092214
0.033,0.009594,0.0095012
0.034,0.009868,0.0097892
0.035,0.0101542,0.0100652
0.036,0.0104374,0.0103416
0.037,0.0107382,0.0106442
0.038,0.0110208,0.0109434
0.039,0.0113046,0.0112332
0.04,0.0116,0.0115206
0.041,0.0118838,0.0118058
0.042,0.012192,0.0120826
0.043,0.0124764,0.0123934
0.044,0.0127704,0.0126566
0.045,0.0130676,0.012949
0.046,0.013356,0.0132376
0.047,0.0136722,0.0135252
0.048,0.0139566,0.0138228
0.049,0.01423,0.0141006
0.05,0.0145376,0.0143846
0.051,0.0148226,0.0146598
0.052,0.0151306,0.0149532
0.053,0.0154006,0.015238
0.054,0.0156996,0.0155218
0.055,0.0159866,0.0158124
0.056,0.0162854,0.016094
0.057,0.0165734,0.0163788
0.058,0.0168482,0.0166566
0.059,0.0171592,0.0169488
0.06,0.0174512,0.0172254
0.061,0.0177252,0.0175152
0.062,0.018027,0.0177886
0.063,0.018304,0.0180724
0.064,0.0185836,0.0183632
0.065,0.0188794,0.0186582
0.066,0.0191672,0.0189364
0.067,0.019452,0.0192334
0.068,0.0197396,0.0195258
0.069,0.0200186,0.0198084
0.07,0.020312,0.0200804
0.071,0.0206016,0.0203652
0.072,0.0209022,0.0206394
0.073,0.0212012,0.0209238
0.074,0.0215016,0.0212208
0.075,0.0217832,0.0215194
0.076,0.0220594,0.0217972
0.077,0.022345,0.0220916
0.078,0.022642,0.0223746
0.079,0.0229298,0.0226534
0.08,0.0232208,0.0229482
0.081,0.0235226,0.0232402
0.082,0.0238074,0.0235266
0.083,0.0241034,0.0238178
0.084,0.0243792,0.0240938
0.085,0.0246686,0.0243902
0.086,0.024972,0.02467
0.087,0.025262,0.0249444
0.088,0.0255524,0.0252156
0.089,0.0258452,0.0254926
0.09,0.0261272,0.0257614
0.091,0.0264202,0.0260422
0.092,0.0267114,0.0263242
0.093,0.0269852,0.026596
0.094,0.0272846,0.0268846
0.095,0.0275824,0.0271708
0.096,0.0278688,0.0274476
0.097,0.02817,0.0277154
0.098,0.0284606,0.027996
0.099,0.0287524,0.0282878
0.1,0.029045,0.0285872
0.101,0.0293262,0.0288802
0.102,0.0296148,0.029176
0.103,0.029913,0.0294516
0.104,0.0302022,0.0297308
0.105,0.0305008,0.0300322
0.106,0.0307764,0.0303092
0.107,0.0310862,0.0306098
0.108,0.0313806,0.0308646
0.109,0.0316762,0.0311438
0.11,0.0319774,0.0314194
0.111,0.0322728,0.0317132
0.112,0.0325596,0.031984
0.113,0.0328578,0.0322566
0.114,0.0331494,0.0325326
0.115,0.0334326,0.0327964
0.116,0.0337152,0.0330716
0.117,0.0340114,0.0333606
0.118,0.0342968,0.0336288
0.119,0.0345924,0.033899
0.12,0.034872,0.03418
0.121,0.0351608,0.0344516
0.122,0.0354474,0.0347196
0.123,0.0357348,0.0350084
0.124,0.036042,0.0352896
0.125,0.036337,0.0355716
0.126,0.0366296,0.0358684
0.127,0.0369198,0.0361336
0.128,0.0372086,0.0364062
0.129,0.0374772,0.0366862
0.13,0.0377696,0.036962
0.131,0.0380764,0.037245
0.132,0.0383582,0.0375202
0.133,0.0386488,0.037808
0.134,0.0389482,0.0380712
0.135,0.0392246,0.0383404
0.136,0.0395166,0.0386296
0.137,0.0397778,0.0389234
0.138,0.0400806,0.0391888
0.139,0.040384,0.039479
0.14,0.0406764,0.0397588
0.141,0.0409822,0.0400498
0.142,0.041278,0.0403262
0.143,0.0415878,0.0405954
0.144,0.0418944,0.0408856
0.145,0.0422008,0.041178
0.146,0.0424862,0.0414638
0.147,0.0427832,0.0417484
0.148,0.0430778,0.042019
0.149,0.0433664,0.0422762
0.15,0.0436642,0.0425588
0.151,0.0439444,0.0428334
0.152,0.0442458,0.0431012
0.153,0.0445344,0.0433706
0.154,0.0448262,0.0436558
0.155,0.0451492,0.0439286
0.156,0.0454396,0.0442092
0.157,0.0457386,0.0444826
0.158,0.0460318,0.0447428
0.159,0.0463276,0.0450032
0.16,0.0466348,0.0452802
0.161,0.0469354,0.0455608
0.162,0.0472168,0.0458544
0.163,0.0475152,0.0461284
0.164,0.047793,0.046413
0.165,0.048074,0.046686
0.166,0.0483734,0.0469548
0.167,0.0486632,0.0472216
0.168,0.048959,0.047499
0.169,0.0492606,0.047761
