x,phase_1,phase_2
0.0,0.0,0.0
0.001,0.0002922,0.0002972
0.002,0.0005884,0.0005916
0.003,0.0009022,0.0008772
0.004,0.0011868,0.0011788
0.005,0.0014762,0.0014898
0.006,0.0018024,0.0017824
0.007,0.0020854,0.0020762
0.008,0.0023974,0.00236
0.009,0.002675,0.0026828
0.01,0.0029644,0.0029776
0.011,0.0032658,0.0032648
0.012,0.0035608,0.0035682
0.013,0.0038568,0.003867
0.014,0.0041386,0.00416
0.015,0.0044292,0.0044488
0.016,0.0047218,0.0047248
0.017,0.0050098,0.0050114
0.018,0.0052832,0.0052968
0.019,0.0055658,0.0055746
0.02,0.0058488,0.0058658
0.021,0.0061314,0.0061462
0.022,0.0064164,0.0064438
0.023,0.006699,0.0067192
0.024,0.0069974,0.0070024
0.025,0.0072904,0.0072798
0.026,0.0075702,0.0075698
0.027,0.0078692,0.0078576
0.028,0.008148,0.0081436
0.029,0.0084278,0.0084262
0.03,0.0087112,0.0087064
0.031,0.0090038,0.0089952
0.032,0.0092926,0.0093014
0.033,0.00958,0.0095868
0.034,0.0098584,0.0098742
0.035,0.0101632,0.010165
0.036,0.0104464,0.0104408
0.037,0.0107476,0.0107118
0.038,0.0110322,0.0110074
0.039,0.0113194,0.0113008
0.04,0.011625,0.0115798
0.041,0.011922,0.0118638
0.042,0.0122088,0.012164
0.043,0.012501,0.0124598
0.044,0.012798,0.0127296
0.045,0.0130928,0.0130228
0.046,0.0133774,0.013294
0.047,0.013689,0.0135816
0.048,0.01397,0.0138772
0.049,0.0142644,0.0141618
0.05,0.0145626,0.0144396
0.051,0.0148564,0.014709
0.052,0.0151652,0.01502
0.053,0.015459,0.0153034
0.054,0.0157488,0.015583
0.055,0.0160412,0.0158708
0.056,0.0163246,0.016163
0.057,0.0166126,0.0164444
0.058,0.0169004,0.0167236
0.059,0.0171964,0.0170016
0.06,0.0174798,0.0172862
0.061,0.017748,0.0175708
0.062,0.0180512,0.0178662
0.063,0.0183398,0.0181566
0.064,0.0186034,0.0184416
0.065,0.0189022,0.0187336
0.066,0.019172,0.0190112
0.067,0.0194602,0.019312
0.068,0.0197482,0.019597
0.069,0.0200362,0.0198792
0.07,0.0203462,0.0201622
0.071,0.0206296,0.0204512
0.072,0.020906,0.0207246
0.073,0.021184,0.0210078
0.074,0.0214914,0.0213008
0.075,0.021786,0.0215866
0.076,0.0220724,0.0218732
0.077,0.0223654,0.0221602
0.078,0.0226624,0.022442
0.079,0.0229636,0.0227224
0.08,0.0232518,0.0230118
0.081,0.0235434,0.0233064
0.082,0.0238484,0.023587
0.083,0.0241432,0.0238674
0.084,0.0244136,0.0241496
0.085,0.0247068,0.0244328
0.086,0.0250118,0.0247158
0.087,0.0252918,0.0249948
0.088,0.0255988,0.0252742
0.089,0.0258924,0.0255612
0.09,0.0261704,0.0258392
0.091,0.0264714,0.0261256
0.092,0.0267622,0.0264056
0.093,0.0270496,0.0266788
0.094,0.0273406,0.0269536
0.095,0.0276414,0.0272258
0.096,0.0279206,0.0275002
0.097,0.0282176,0.0277812
0.098,0.0285082,0.0280468
0.099,0.0288124,0.0283312
0.1,0.0291024,0.0286332
0.101,0.029388,0.0289332
0.102,0.0296826,0.029226
0.103,0.0299936,0.0295064
0.104,0.0303024,0.0297748
0.105,0.0305958,0.0300572
0.106,0.0308816,0.0303242
0.107,0.0311802,0.030631
0.108,0.0314644,0.030899
0.109,0.0317422,0.0311754
0.11,0.0320358,0.0314512
0.111,0.032328,0.0317264
0.112,0.0326272,0.0319954
0.113,0.0329224,0.0322714
0.114,0.0332158,0.0325596
0.115,0.0335074,0.0328432
0.116,0.0337976,0.0331316
0.117,0.0340918,0.0334066
0.118,0.0343944,0.0336806
0.119,0.0346776,0.033942
0.12,0.034949,0.0342212
0.121,0.0352322,0.0344974
0.122,0.0355316,0.0347736
0.123,0.0358022,0.035046
0.124,0.0361034,0.0353198
0.125,0.036409,0.0355936
0.126,0.0366976,0.0358994
0.127,0.037002,0.0361816
0.128,0.0372902,0.0364612
0.129,0.0375696,0.0367352
0.13,0.0378578,0.0370188
0.131,0.0381714,0.0373124
0.132,0.038461,0.0375954
0.133,0.038753,0.0378876
0.134,0.0390496,0.0381562
0.135,0.0393162,0.0384334
0.136,0.0396008,0.0387144
0.137,0.0398784,0.039008
0.138,0.040186,0.0392788
0.139,0.0404758,0.0395676
0.14,0.0407772,0.0398416
0.141,0.0410868,0.0401204
0.142,0.0413804,0.0404016
0.143,0.0416758,0.040684
0.144,0.0419808,0.0409704
0.145,0.0422786,0.041255
0.146,0.0425642,0.0415332
0.147,0.0428524,0.041824
0.148,0.0431646,0.0421184
0.149,0.0434618,0.0423738
0.15,0.0437664,0.0426548
0.151,0.0440382,0.0429178
0.152,0.0443404,0.043181
0.153,0.0446272,0.0434582
0.154,0.0449206,0.0437284
0.155,0.045243,0.0440102
0.156,0.0455502,0.0442978
0.157,0.0458322,0.0445734
0.158,0.0461256,0.0448472
0.159,0.0464062,0.0451132
0.16,0.0467136,0.0453906
0.161,0.0470088,0.0456762
0.162,0.0472832,0.045964
0.163,0.0475796,0.0462416
0.164,0.0478732,0.0465196
0.165,0.0481554,0.0467794
0.166,0.04845,0.0470496
0.167,0.0487432,0.047319
0.168,0.0490398,0.0475988
0.169,0.049328,0.0478732
0.17,0.049627,0.0481424
0.171,0.049919,0.0484242
0.172,0.0502176,0.0487064
0.173,0.0505092,0.049002
0.174,0.0508122,0.0492658
0.175,0.0510792,0.0495284
0.176,0.0513746,0.0498096
0.177,0.051654,0.0501018
0.178,0.0519532,0.0503614
0.179,0.052245,0.050624
0.18,0.0525424,0.0509144
0.181,0.052846,0.0511792
0.182,0.0531264,0.0514678
0.183,0.0534142,0.0517416
0.184,0.0537128,0.05202
0.185,0.0540052,0.052292
0.186,0.0543122,0.052573
0.187,0.0546136,0.0528516
0.188,0.0549216,0.0531354
0.189,0.0552262,0.0534086
0.19,0.0555288,0.0536922
0.191,0.055838,0.053959
0.192,0.0561404,0.0542178
0.193,0.0564112,0.0544758
0.194,0.056709,0.054748
0.195,0.0570058,0.0550324
0.196,0.0573064,0.0553026
0.197,0.0576084,0.0555774
0.198,0.057892,0.0558456
0.199,0.0581706,0.056116
0.2,0.05846,0.056375
0.201,0.0587572,0.0566426
0.202,0.0590542,0.0569128
0.203,0.0593546,0.0571806
0.204,0.059641,0.0574566
0.205,0.0599294,0.0577406
0.206,0.060218,0.0580198
0.207,0.060498,0.058285
0.208,0.0607828,0.0585504
0.209,0.0610774,0.0588284
0.21,0.0613698,0.0591178
0.211,0.0616612,0.0593784
0.212,0.0619446,0.0596316
0.213,0.062237,0.0599026
0.214,0.062539,0.0601828
0.215,0.0628392,0.0604476
0.216,0.0631198,0.060708
0.217,0.0634022,0.0609874
0.218,0.0636976,0.0612462
0.219,0.0639896,0.0615328
0.22,0.0642832,0.0617936
0.221,0.0645902,0.0620644
0.222,0.0648826,0.0623384
0.223,0.0651936,0.0626154
0.224,0.0654768,0.062886
0.225,0.0657722,0.0631634
0.226,0.0660746,0.0634264
0.227,0.0663644,0.063702
0.228,0.0666732,0.0639664
0.229,0.0669648,0.0642338
0.23,0.0672464,0.0645076
0.231,0.067526,0.0647648
0.232,0.0678024,0.0650406
0.233,0.068088,0.0652982
0.234,0.0683824,0.0655492
0.235,0.068675,0.06581
0.236,0.0689536,0.0660716
0.237,0.0692362,0.0663358
0.238,0.0695246,0.0666138
0.239,0.0698096,0.0668656
0.24,0.070105,0.0671222
0.241,0.0703954,0.0673932
0.242,0.0706906,0.0676606
0.243,0.0709698,0.0679352
0.244,0.0712646,0.068193
0.245,0.0715732,0.0684528
