x,phase_1,phase_2
0.0,0.0,0.0
0.001,0.0002712,0.0002988
0.002,0.0005624,0.0005942
0.003,0.0008598,0.0008704
0.004,0.0011486,0.001164
0.005,0.0014314,0.0014332
0.006,0.0017526,0.001717
0.007,0.002046,0.0019988
0.008,0.002342,0.0023042
0.009,0.002632,0.0026074
0.01,0.0029244,0.0029306
0.011,0.0032266,0.0032172
0.012,0.0035084,0.0035128
0.013,0.0038012,0.0038224
0.014,0.0040996,0.0041082
0.015,0.00439,0.0044038
0.016,0.0046818,0.0046858
0.017,0.0049642,0.004967
0.018,0.0052418,0.0052528
0.019,0.0055462,0.0055334
0.02,0.0058262,0.0058222
0.021,0.006128,0.006095
0.022,0.0064194,0.0063868
0.023,0.0067296,0.0066626
0.024,0.007014,0.0069402
0.025,0.007317,0.007216
0.026,0.0075988,0.007507
0.027,0.0078902,0.0077934
0.028,0.0081708,0.0080894
0.029,0.0084612,0.0083852
0.03,0.00876,0.008659
0.031,0.0090306,0.0089626
0.032,0.0093158,0.0092612
0.033,0.0095932,0.0095482
0.034,0.0098734,0.0098378
0.035,0.0101588,0.0101216
0.036,0.0104308,0.0103932
0.037,0.0107324,0.0106852
0.038,0.0110082,0.0109828
0.039,0.0113,0.0112768
0.04,0.0116038,0.0115572
0.041,0.0119074,0.0118408
0.042,0.0122088,0.0121464
0.043,0.012511,0.012458
0.044,0.012802,0.0127322
0.045,0.0130924,0.0130296
0.046,0.0133674,0.0133058
0.047,0.0136858,0.0136016
0.048,0.0139624,0.0139054
0.049,0.0142544,0.0141814
0.05,0.0145526,0.0144616
0.051,0.0148382,0.0147364
0.052,0.0151554,0.0150358
0.053,0.0154526,0.0153058
0.054,0.0157434,0.0155842
0.055,0.0160264,0.0158754
0.056,0.0163106,0.016156
0.057,0.0166144,0.0164434
0.058,0.016903,0.016726
0.059,0.0172104,0.0170106
0.06,0.0175056,0.0172926
0.061,0.0177856,0.017569
0.062,0.018107,0.0178432
