dg1,dg2,order13,qbdrap4
-0.29646678953393885,-0.29646678953393885,-0.29646678953393885,-0.2864474462034529
-0.3804788228795516,-0.32495265856847333,-0.32358248729889444,-0.33917317493989835
-0.384546901916983,-0.3231273850509191,-0.34278017860132853,-0.3628289868103345
-0.3869671702826685,-0.3218481222201431,-0.35169009751066194,-0.37228497503466773
-0.38770535723485533,-0.3209222646800415,-0.35721773672180895,-0.3772739131304045
-0.388016430111516,-0.3206634698380145,-0.3611695122141708,-0.3802425443241095
-0.38853176953002777,-0.32058729403954844,-0.3641384818434662,-0.3821724140619836
-0.38867652210273174,-0.32053610395451737,-0.3664540988703878,-0.3835184673348336
-0.38886594359883486,-0.32061148055311817,-0.3683136094548754,-0.3845059962163427
-0.38906925344775706,-0.32074047247488785,-0.369841659008213,-0.3852589011530454
-0.38910348075428325,-0.3206934166679155,-0.37112219605285335,-0.38585062040912943
