dg1,dg2,order13,qbdrap4
-0.4083474614337886,-0.4083474614337886,-0.4083474614337886,-0.4083474614337884
-1.1009633384114415,-0.8737043763179672,-0.8203233294142256,-0.9397116055398286
-1.0334481079640994,-0.8457842338125768,-1.0474562525702373,-1.055561015600145
-0.9920152164922243,-0.8117183686388107,-1.089226896283029,-1.0520140811639016
-1.0118027752145953,-0.7956029897042702,-1.1040710875368493,-1.0384713089926743
-0.9742847834539629,-0.7996203729249338,-1.1074977496320273,-1.0273162841027468
-0.9916623009645239,-0.7977676024767985,-1.105855922759758,-1.0187389694902245
-0.9915138655090087,-0.7962423947543457,-1.1019930421765431,-1.012074721461607
-0.9639841920221623,-0.7954482275105674,-1.0972599922153,-1.0067689798569026
-0.9823702990152582,-0.7946055199441823,-1.0923139925500496,-1.0024482620844222
-0.9815311289519829,-0.7963549356219168,-1.0874723518115064,-0.9988588281290707
