dg1,dg2,order13,qbdrap4
0.1263560383417559,0.1263560383417559,0.1263560383417559,0.12959179673528765
-1.2948016538128835,-0.6405557177708537,-0.23649739946054424,-0.32217713630784894
-1.5373657007415025,-0.6302186582093323,-0.4252949127700214,-0.6286595904064686
-1.6213412702333199,-0.6269109947771343,-0.5543008452752313,-0.8360064743988185
-1.7103100210942026,-0.6261563695794662,-0.6522729683678473,-0.9867745601297284
-1.7407530832704678,-0.6291105132586711,-0.7278884222817273,-1.1038897075053173
-1.7911566801917294,-0.6301447473912802,-0.788634255837805,-1.1982884753014091
-1.8238693083876205,-0.6297196885464492,-0.8397273915813318,-1.276370447625849
-1.8348268757983481,-0.6307961248806677,-0.8837628845753993,-1.3414064694160819
-1.8667812732204363,-0.6279887165811409,-0.9224477901905993,-1.3955244107220877
-1.8818477913198954,-0.6324070802336219,-0.9569018703880046,-1.4421881895403559
