DG,DGₗ,QBDRAP
0.7596678446896304,0.7596678446896304,0.16982061925242115
-0.6361946288353979,-0.016389920026896865,-0.2003615138388448
-1.159445870393498,-0.008602446928066382,-0.4400454320856505
-1.6427126352019223,-0.010855587047822319,-0.6264153041866704
-1.6854997018674838,-0.006060913454368965,-0.7803177412476227
-1.819347507294378,-0.005669036088666437,-0.9122552845684849
-2.0979002767945385,-0.005973147269570715,-1.028461778095627
-2.135265365161677,-0.006237948199877807,-1.1329204152244348
-2.17007305291276,-0.006403865133778299,-1.2282575982727573
-2.3742416641962323,-0.006287949292453983,-1.3159755111067644
-2.4263499010126686,-0.006707049166237911,-1.397163371854007
