DG,Unif,DG_limiter,QBDRAP
0.20509763954354412,0.20509763954354412,0.20509763954354412,0.20464058092415496
-0.45705863170280053,-0.03410045341958631,0.04628011054661551,-0.12327574694743822
-0.6873687028863013,-0.1456095603716924,0.05405807183559522,-0.31560884346311624
-0.8277240975537318,-0.2189279408770009,0.05386335551614983,-0.4546018274636299
-0.929282753143936,-0.2736420791844265,0.05292664300138838,-0.5612912221679387
-1.0074459630637027,-0.31730767804658916,0.054121889299180014,-0.6467922176271085
-1.0722731141041844,-0.3536457671555216,0.05710811444883474,-0.7194574789656876
-1.1269832754079991,-0.3847657923756786,0.057308204356138134,-0.7819753472867605
-1.1753098867385197,-0.41197986186979857,0.057193457329045044,-0.8372151762999819
-1.2172826529852314,-0.4361600449880506,0.05682910286634342,-0.88665271691498
-1.2547532416640659,-0.457915440976382,0.05683917338297926,-0.9311373100919565
