DG,Order_1,QBDRAP
-0.3010299956639812,-0.3010299956639812,-0.2545390423593641
-0.3010299956639809,-0.3010299956639812,-0.293861663366331
-0.3010299956639816,-0.30102999566398125,-0.2903045110245634
-0.30102999566398125,-0.3010299956639812,-0.2916106681983361
-0.3010299956639811,-0.3010299956639812,-0.2930789877214567
-0.301029995663981,-0.30102999566398125,-0.2931561228976712
-0.30102999566398064,-0.3010299956639812,-0.29361842285774004
-0.3010299956639819,-0.3010299956639812,-0.29369608566917316
-0.30102999566398203,-0.3010299956639812,-0.2937437332259784
-0.3010299956639809,-0.3010299956639812,-0.2937760026447552
-0.301029995663981,-0.3010299956639812,-0.29373597481267083
