DG,Order_1,QBDRAP
-0.6020599913279624,-0.6020599913279624,-0.5933309497315045
-0.8388947765994597,-1.0791812113040673,-0.6227501137694114
-0.9700499270931359,-1.3010299956639804,-0.7014288527193728
-1.063302491948612,-1.4471578576244601,-0.8179964302219832
-1.1362277266184155,-1.556302153331839,-0.9211993422367464
-1.196310580255814,-1.6434521553331205,-1.0045220353523014
-1.2474936329572535,-1.7160026487641822,-1.077317780588212
-1.2921254226484562,-1.778150381795546,-1.1391876750813323
-1.3317237739854777,-1.8325083915531677,-1.1938688706130243
-1.3673293117531704,-1.8808127584361838,-1.2428042602666847
-1.399686823897073,-1.9242786259347668,-1.286561338564537
