DG,Unif,DG_limiter,QBDRAP
-0.3311499290116115,-0.3311499290116115,-0.3311499290116115,-0.3146463458418057
-0.4064324592948122,-0.3658866944269525,-0.3752358374743443,-0.3850451187040618
-0.964109580511163,-0.37867153557132294,-0.37280943756548063,-0.40169992293139833
-2.270019790987968,-0.3855626558439448,-0.37231315957118605,-0.4183371607730271
-2.764599466588384,-0.3902562647301071,-0.37244971333691895,-0.4607522882847483
-3.0568842318814093,-0.3941081342385657,-0.37214508751411884,-0.5235068659077187
-3.28530654395905,-0.39745646663061535,-0.37199657320037527,-0.5961533530355202
-3.47906685178325,-0.4011159427050758,-0.3714424567598142,-0.671726589103093
-3.6433333916485204,-0.40499012921620364,-0.37191234350659486,-0.7464750871836446
-3.788654379390875,-0.40943738732608714,-0.372251885402349,-0.8185963318214455
-3.917782567283042,-0.41432870087558377,-0.37062998645845063,-0.8873558994849678
