DG,Unif,DG_limiter,QBDRAP
-0.6475842075607332,-0.6475842075607332,-0.6475842075607332,-0.6629687981540089
-1.190579506200601,-0.9537736339454909,-0.9893888903280518,-1.0456342311633509
-1.7792447419394009,-1.048144008512373,-0.9883616651086721,-1.1404279831473279
-3.3322884933769243,-1.090433015705976,-0.9837484259117582,-1.1846996353619423
-3.971056078068764,-1.1153992025535302,-0.98706463926659,-1.238973227207217
-4.36347005545214,-1.1322981612751815,-0.9852520319747247,-1.3076466717107356
-4.676320093564772,-1.1449764267423146,-0.9820771672084023,-1.3835403832485649
-4.937604724819194,-1.1553666960529925,-0.972691839587061,-1.4610711320621093
-5.1607628676503845,-1.1645242127652065,-0.9793990551969161,-1.537140809122926
-5.358007867590406,-1.1730399627470822,-0.988013718345667,-1.610264818110653
-5.532505160242941,-1.1812476752798986,-0.9690429358872149,-1.6798411383791396
