DG,Unif,QBDRAP
-0.6020599913279624,-0.6020599913279624,-0.5407842180418617
-1.4313416866360107,-1.5563024660237281,-0.805441955374316
-1.7948639514471851,-1.9999999999999947,-1.14644829358303
-2.0357013404053195,-2.2922558976387064,-1.4196049926628467
-2.2162372737764056,-2.5105446627711534,-1.629710301500768
-2.362397611978822,-2.6848448404912864,-1.8008561759329615
-2.4837327623302112,-2.829946001070994,-1.9430591101498798
-2.5894682972514285,-2.95424164085119,-2.0607153820896715
-2.680979159327107,-3.0629573129314043,-2.1657546730202153
-2.7640978679051234,-3.159566359388919,-2.2600796578233586
-2.837504944570016,-3.2464979206686784,-2.3457991092676624
