DG,Unif,QBDRAP
-1.9286549331065747e-16,-1.9286549331065747e-16,0.09513537727864926
-0.6020598480924788,-0.4771646863394701,-0.2596764470656476
-0.8519367159036303,-0.6989700043360189,-0.5909306340535159
-1.010297815844097,-0.8449677712090299,-0.7519728938850229
-1.1262792183690167,-0.9542859410591324,-0.8472657402515633
-1.2177902828884857,-1.0414361167780326,-0.9296740549848515
-1.293361799904647,-1.1140736601985692,-1.002649685164846
-1.3577235027540944,-1.175874166083451,-1.0657969113359447
-1.4137711076633317,-1.2298847052128987,-1.1214708610750803
-1.4634057124131665,-1.2781893847874537,-1.1706561384975809
-1.5079434430222263,-1.3214816209598859,-1.2149320839604316
