DG,Unif,QBDRAP
-0.3010299956639812,-0.3010299956639812,-0.2544641652976862
-0.9033505897387649,-0.7781512503836432,-0.4453263678286091
-1.1531606869429891,-0.9999999999999997,-0.6672906381840841
-1.311913489258903,-1.1461280356782368,-0.8149875437719821
-1.427736926998958,-1.255272505103305,-0.9189217964640615
-1.5197215532625852,-1.3424226808222024,-1.0036999846458174
-1.5950696182239374,-1.414973347970817,-1.0756766331362828
-1.6599701348108113,-1.477121254719661,-1.1378001209792483
-1.7157432728405762,-1.5314789170422534,-1.192642572209248
-1.7659720557804388,-1.579783596616807,-1.2414604052268208
-1.8101946039300385,-1.6232492903979,-1.2855159055638512
