DG,Unif,QBDRAP
-5.069925687754393,-5.069925687754393,-4.797155334962101
-7.293753456764569,-5.672715299038043,-5.593244244357073
-7.293753523323771,-6.015234831743856,-6.206846582928402
-7.293753523323772,-6.249171135939885,-6.598982400046349
-7.293753523323772,-6.4225006507446265,-6.849019549441268
-7.293753523323772,-6.556406185549006,-6.9996217941230725
-7.293753523323772,-6.6628978420765455,-7.088433761337679
-7.293753523323772,-6.7492380968440395,-7.141842615910987
-7.293753523323772,-6.819957120010788,-7.1751245400660055
-7.293753523323772,-6.8787073536359795,-7.196777774384908
-7.293753523323772,-6.927887570393831,-7.211512520859782
