unnormalised,naive,normalised
-0.43429448190325315,-0.8618029514859602,-0.8618029514859602
-0.7249211545034607,-1.022633655883767,-1.0292148094412708
-0.9221680751764213,-1.006619568569358,-1.0065184356152108
-1.02324086436588,-1.024058945784722,-1.024207823200059
-1.0773564070225297,-1.0779461301504734,-1.0781268781770643
-1.1368158648460578,-1.1503222486344964,-1.150519646263932
-1.179570519247712,-1.2298251093612569,-1.2299796678433663
-1.2202131132232836,-1.310806074003773,-1.310895771766036
-1.2590222701692533,-1.3905334871462989,-1.3905703668615708
-1.29591985251269,-1.4676445768231117,-1.4676486489743106
-1.3308626754185382,-1.541413616661205,-1.5414014468132653
