unnormalised,naive,normalised
-0.18022415542073772,-0.29561488423159027,-0.29561488423159016
-0.24259441091634626,-0.29086314049931156,-0.2922934485093405
-0.23632215911894813,-0.2764257696858076,-0.27642512993016377
-0.2537349781707694,-0.2979371488350789,-0.29792244569955545
-0.3306732344197554,-0.39468284421163463,-0.3946514289807731
-0.44472721395945675,-0.5395571477832704,-0.5395668985551048
-0.5717941689626692,-0.7020831339135842,-0.7020831080578958
-0.6979243553625746,-0.8656156013603115,-0.8655696127142338
-0.8165568311602199,-1.0225272718553269,-1.0224374239188456
-0.9251343587697164,-1.1696439701269254,-1.1695267279948518
-1.0231126596463644,-1.3058931893972379,-1.305764914653634
