unnormalised,naive,normalised
-0.16389545911167647,-0.19749454317976994,-0.19749454317976994
-0.17794613024835904,-0.1919038824854189,-0.19247913880245884
-0.1722358865807199,-0.1852427348453074,-0.18524345410121695
-0.18024415273905828,-0.19572564177990473,-0.19571655749124672
-0.22058666393528192,-0.24428806661535984,-0.24427027818872094
-0.28235646448779833,-0.31766120929279706,-0.3176627807728104
-0.3532744033814712,-0.400607094751156,-0.40060188276006814
-0.4259091758919403,-0.48466590922583513,-0.4846364019226454
-0.49701672169087835,-0.5664931201616424,-0.5664409015703245
-0.5651725331342107,-0.6447824417365561,-0.6447158798442716
-0.6297154594103509,-0.7189742762010789,-0.718901099554929
