unnormalised,naive,normalised
-0.8684177693303945,-1.2444391865413758,-1.2444391865413755
-1.1342360918170553,-1.2869842841537733,-1.2883658824512871
-1.2952925729604585,-1.2806417515339776,-1.2806219457223875
-1.3252098627104458,-1.292502146867219,-1.2925130550198631
-1.3713550438238449,-1.341560952853387,-1.3415608284016067
-1.4375905868179422,-1.4149891686112348,-1.41500474827629
-1.5130261871477628,-1.4977634995721112,-1.4977678343149827
-1.5905594031403647,-1.581726257213104,-1.581702276905974
-1.6664539578616042,-1.6630385642791836,-1.6629894470441602
-1.7390384445968998,-1.7401656112874522,-1.7401013588852314
-1.8077624599900535,-1.8127252298046328,-1.8126549925948878
