DG,Unif,DG_limiter,QBDRAP
0.13186912292455313,0.13186912292455313,0.13186912292455313,0.13116626886312793
-0.9503964683216618,-0.15484983853306603,-0.05868113692510269,-0.2890869578482459
-1.4344551252708857,-0.30068962296209567,-0.054115648305877735,-0.574918181396027
-1.8276174902992317,-0.40199452262808133,-0.05615005955286167,-0.8009674971445856
-1.9148650194092893,-0.4808173473335906,-0.05617977166366746,-0.9907919827656071
-2.1489952032683646,-0.545892420408904,-0.05644152737889096,-1.1537732803659497
-2.2789280639757115,-0.6016125652715332,-0.05038545086081799,-1.2950909021392476
-2.3419027280135922,-0.6505139481763228,-0.05035824729559929,-1.4186640662010912
-2.522622187459321,-0.6942001926409879,-0.05061595632521129,-1.5277943082366359
-2.551147316998941,-0.7337538577230046,-0.05121946936720519,-1.6251644775060068
-2.632359850739145,-0.7699418949796825,-0.05125894641987752,-1.7128665637491767
