DG,Unif,DG_limiter,QBDRAP
-0.12341009925832078,-0.12341009925832078,-0.12341009925832078,-0.12185780285190345
-0.7943154675870673,-0.23163368610680893,-0.17542780862508014,-0.32255065979935105
-1.0158730906669735,-0.3096942130700661,-0.1776332096820091,-0.5460338011369993
-1.2644626227040232,-0.37389711391224806,-0.17713859925124248,-0.7374488751585542
-1.31623557711973,-0.4286370364714105,-0.1768077906155899,-0.8757637630755039
-1.4597115060166717,-0.47692871280662347,-0.17707647241993177,-0.9742678999594298
-1.53086353138424,-0.5194231353972927,-0.17760834813285237,-1.0510155943916282
-1.5743176050938492,-0.5570081929684451,-0.17756110776281084,-1.1154153705834466
-1.6753165054626054,-0.5909829113496462,-0.1777046528213129,-1.1714582767134307
-1.6942009777561646,-0.6214430432964496,-0.17781869007476708,-1.221156355081327
-1.7495221478522898,-0.6490384555913148,-0.17775432598299384,-1.2657999200113534
