DG,Order_1,DG_limiter,QBDRAP
0.2066279357126873,0.2066279357126873,0.2066279357126873,0.20661971528773276
-0.3698648644368391,0.12962405556854445,0.1644294316186672,0.07032312173130591
-0.7006361728241306,0.07513410218331995,0.1642584097570309,-0.0750540700403978
-0.935226181209236,0.030864129352430558,0.16406206997196443,-0.20512727797572333
-0.9955274473334642,-0.006889737712725482,0.16421242775155348,-0.31188587844405746
-1.1498707711072913,-0.039918645621623776,0.16404167014734108,-0.39951057120463895
-1.2260645790187195,-0.06928450833206257,0.16483344153928914,-0.4733147080663553
-1.269028668106306,-0.09569474166834997,0.1648727716247246,-0.536916221837046
-1.3678353229452795,-0.1196568689842862,0.16479243975826377,-0.5927032507581645
-1.4013123656254134,-0.141553645173751,0.16467135748385328,-0.6423293677567566
-1.4528642610210165,-0.1616840072385129,0.16469442026603529,-0.6869850363520716
