DG,Unif,DG_limiter,QBDRAP
-0.3630408335485086,-0.3630408335485086,-0.3630408335485086,-0.3630625466440783
-0.9967744236354585,-0.4554280889921454,-0.3737190672529885,-0.5033065956480981
-1.2969677865228342,-0.515331536759034,-0.373806905184416,-0.6600293272939945
-1.5133897830829122,-0.5627550168645079,-0.37235899825580354,-0.7970846734654966
-1.6076737189822474,-0.6026298098058266,-0.37219886982897776,-0.9061808121415555
-1.7463786127173764,-0.6371771578181326,-0.37221997516830063,-0.9942317243198896
-1.8267121117580156,-0.6676657078126044,-0.3722573934421683,-1.0679974171611517
-1.8784292920752994,-0.6949213511842015,-0.3721911668114615,-1.1314842162827197
-1.9582471592847022,-0.7195271882282501,-0.3723510172800272,-1.187160119490799
-2.0019120053797956,-0.7419175543497468,-0.3724323249360562,-1.2366933109218987
-2.057655962630526,-0.7624281489964386,-0.37234312899246674,-1.281274619989437
