dg,dg_limiter,order1,qbdrap
"[-1.036823574838878, -0.8313093822280815]","[-1.0365971617109426, -0.7222123914714582]","[-1.0529960231584072, -0.8031843145632808]","[-1.0586410811012141, -0.7057459206691701]"
"[-3.098237368849483, -1.569706847557092]","[-1.9322345072682867, -1.6189797586545485]","[-1.7038948968937806, -1.2755451168703826]","[-1.8816691308370963, -1.401880974531561]"
"[-3.891989214955378, -2.078257697809889]","[-1.8452054030247784, -1.492579930454078]","[-2.0301347208176255, -1.5994458882720426]","[-2.2850695916034143, -1.5167452640953654]"
"[-3.547165514926015, -1.9425731075216364]","[-1.8027432429591657, -1.4522756318773393]","[-2.2044779120261815, -1.6274245969403878]","[-2.6517282165190084, -1.8963643565770487]"
