dg1,dg2,order13,qbdrap4
-0.40780679874001763,-0.40780679874001763,-0.40780679874001763,-0.40780679874001746
-1.0979074471845307,-0.8737043763179672,-0.8189286477092036,-0.9378765759575071
-1.0307191261286857,-0.8457842338125767,-1.0445283029096855,-1.0525781007583639
-0.9907634958605923,-0.8104294771394727,-1.086004441566467,-1.0490553464687804
-1.0097910053331651,-0.7943609815890881,-1.1007370143033777,-1.0356031146618556
-0.9730565451961308,-0.7996203729249336,-1.1041373678167583,-1.0245205887980102
-0.9904682373281256,-0.7977676024767983,-1.102508171958808,-1.01599777530454
-0.9901004444435227,-0.7962423947543456,-1.0986748233206067,-1.0093751403414262
-0.9629216259777806,-0.7954482275105674,-1.0939776042242304,-1.004125577925378
-0.9811783069979187,-0.794605519944182,-1.089068635725144,-0.9998823533311164
-0.9803978654795106,-0.7963549356219167,-1.0842628416210824,-0.9963914105057842
