dg1,dg2,order13,qbdrap4
0.12468980832115127,0.12468980832115127,0.12468980832115127,0.1279277206410411
-1.3399108717486343,-0.6495930213280816,-0.24054029033263455,-0.3270744143315632
-1.6166231548313872,-0.638700065674942,-0.43160048742973234,-0.6386886929705754
-1.7282073402434623,-0.6349625626622912,-0.5628471793580314,-0.8521831986798103
-1.8532355772617748,-0.6340395153850835,-0.6629813315909876,-1.0099507095809586
-1.8961863223266564,-0.6369526678525348,-0.7404749179751078,-1.1346326353362368
-1.9769154364632269,-0.6379287561537169,-0.8031204134059281,-1.236982962542101
-2.0368106099430743,-0.6373924947306213,-0.8559866442026204,-1.323268278738241
-2.0456627340932636,-0.6383894370545636,-0.9017652523215031,-1.3974821936445954
-2.106907586356259,-0.6354401228380079,-0.9421459181492493,-1.4623290495671044
-2.136086332500999,-0.639865548355013,-0.9782601933328041,-1.519721214608339
