dg,dg_limiter,order1,qbdrap
"[-0.6699355061368438, -0.595460539583827]","[-0.678136640421724, -0.5988960515865435]","[-0.6864956290367246, -0.5803284348147906]","[-0.6589959759810072, -0.596394772384444]"
"[-1.8537472810427833, -1.3978963654525052]","[-1.1547931303331318, -0.9243890178620197]","[-0.9919468261482692, -0.8156731578952696]","[-1.0886320218492473, -0.8909634355566431]"
"[-2.132307832133791, -1.4841702375713575]","[-1.1396124968553338, -0.9330944890488874]","[-1.1783448403449226, -0.9534204621617411]","[-1.3944238021969353, -1.0638625619871278]"
"[-1.9422910019951753, -1.4154298891472754]","[-1.065690834673681, -0.8762707450119137]","[-1.2224165264598286, -1.018083540491535]","[-1.5559211588134867, -1.177876882405576]"
