dg,dg_limiter,order1,qbdrap
"[-0.4167844154211612, -0.3761192781475726]","[-0.416784415421161, -0.3520197063999098]","[-0.4167844154211611, -0.368686221162231]","[-0.4167844154211609, -0.37688317615849115]"
"[-1.1787192276139589, -0.8647253483406985]","[-0.8737043763179673, -0.7564731887336731]","[-0.800149306142256, -0.7057187223810925]","[-0.9572025844837854, -0.7681410859270087]"
"[-1.0259867878542375, -0.7993900420867023]","[-0.8457842338125768, -0.7486281682521957]","[-0.917896570804939, -0.7860067932966697]","[-1.1165659343012537, -0.7984783736340486]"
"[-0.9848505116878469, -0.7555995289139238]","[-0.814418685122434, -0.7367268155349451]","[-1.0332745898463578, -0.7781604130338903]","[-1.07791030091723, -0.8103055284716607]"
