dg,dg_limiter,order1,qbdrap
"[-0.07579966042426277, 0.1446350781626344]","[0.024246599808328436, 0.19302435964659895]","[-0.10799041719675105, 0.19916864916087199]","[-0.028814253462296012, 0.19986985712710892]"
"[-1.119025391862939, -0.3595795886763238]","[-0.5831876689610326, -0.22206355589649035]","[-0.48511168850002395, -0.15143998826538235]","[-0.6171474457958753, -0.047508126569814485]"
"[-1.3124770331876412, -0.2755688273639543]","[-0.596099834437593, -0.2687353133949039]","[-0.6882654166802603, -0.13382918370644067]","[-0.868446471082829, -0.17985872496701763]"
"[-1.2325930763832595, -0.16639331063313814]","[-0.6137607230366454, -0.14107262050618907]","[-0.8685618608237823, -0.1403176213584609]","[-0.9423176666850199, -0.2898131267261252]"
