DG,DG_limit,Unif,QBDRAP
0.052384690815067775,0.052384690815067775,0.052384690815067775,0.05051377632091622
0.007081635391005414,0.03362533736532527,0.02316406367071421,0.01749987610733238
0.004566303236996083,0.03576034585324531,0.019058063341384258,0.011750931164250676
0.003983696339526978,0.036236591935014134,0.016642157000340486,0.008661675291632408
0.0039771598098285905,0.036467930732727555,0.014979184487566398,0.00677429206229545
0.003976234800172337,0.036348328992380746,0.013736230785938818,0.00549338260095199
0.003974467852491885,0.03631797003605905,0.012758026031208835,0.004563935373679262
0.003974445646777176,0.03638630858562522,0.011960269146989765,0.0038697677347521997
0.003979696174053868,0.036233697226830924,0.011292427245695779,0.003499269898387334
0.004012938044349033,0.036233697225248634,0.010722003752904817,0.003536642466060308
0.0041485597195472425,0.036233697224117595,0.010226969047453615,0.003597993518534235
