DG,DG_limit,Order_1,QBDRAP
0.2779329301952465,0.2779329301952465,0.2779329301952465,0.26711200694266396
0.006246907137164053,0.1364573751111461,0.08483652365115897,0.07665496229994324
0.005418878863956892,0.15471861516054156,0.04980663157297074,0.03292455039030733
0.005318946518666002,0.15887244910743448,0.03536233832612453,0.017517665778077254
0.005295274962054591,0.16098976427285402,0.027479413065298112,0.010916481891650124
0.005288519947471778,0.16021825579860163,0.022516677636991077,0.007546033893378942
0.005287919448887522,0.16015229105552492,0.019088476172893415,0.006078116431293898
0.005287915150405376,0.16072509493476828,0.016580692264537112,0.005590840953226293
0.005287935090930885,0.15953151702086585,0.014665092680617114,0.005279561694776665
0.005288278563703272,0.1595315170311544,0.013154698659828549,0.00514381983539233
0.005291668170028513,0.1595315170237172,0.011956186210210345,0.005128610957141858
