DG,DG_limit,Unif,QBDRAP
0.2895625292851519,0.2895625292851519,0.2895625292851519,0.27902940330479875
0.014668434882890151,0.14743561113142573,0.09655731410476891,0.08936797138920331
0.013974573674868464,0.16598259126706874,0.06144303986238208,0.04604258253482684
0.013866714848311777,0.17019695460998535,0.046837392227650265,0.03077898776876777
0.013854002051584807,0.17234397881407,0.038871588114238846,0.024114685402910594
0.013849828395394101,0.17156615270452208,0.03388071236098599,0.020748930330273738
0.013849137593803289,0.17150196627550046,0.03045225984078638,0.018777178200344045
0.013849135658671234,0.17208166911869746,0.02795320496517701,0.017514642576982473
0.013849110572325445,0.17087480251565304,0.02604940332511745,0.01666028035239041
0.013849496185281973,0.17087480252638196,0.024554108070728692,0.016057502082255967
0.013852853452022737,0.17087480251925452,0.023348633540899746,0.015621496803404947
