DG,DG_limit,Order_1,QBDRAP
1.5934467931588803,1.5934467931588803,1.5934467931588803,1.5934467931588803
0.04488650063957491,1.3329692122160086,0.6099829544496129,0.43358011986072376
0.02822845540668889,1.3384789286836751,0.3881950011912688,0.201400079863054
0.021473453139424583,1.3503860727481274,0.28852682221035275,0.117052821872923
0.017734235515262424,1.3530729736484914,0.23142454809020016,0.07716205360475699
0.015325180378134025,1.3535536880108714,0.1942324193742253,0.055136016987791116
0.013617238024872542,1.3548375511412685,0.16799321039029125,0.04166949906975649
0.012342078422613123,1.355627642382963,0.14843883724378898,0.032886849464928654
0.01134643705951528,1.3545420294946202,0.13327294628310749,0.02681538169439268
0.010547699127205837,1.3541102729246934,0.12114710140946815,0.022422939680379717
0.009887604151928995,1.3541074990395967,0.11121748236246679,0.019104710728572834
