DG,DG_limit,Order_1,QBDRAP
0.3396806750346262,0.3396806750346262,0.3396806750346262,0.3396806750346262
0.20035199529293496,0.3246082783694475,0.2632729851049886,0.2403164974953356
0.18876109561690024,0.3249945798344587,0.2401777985711477,0.21069532756879517
0.183851614845705,0.32519994411840514,0.22811545469001085,0.19722483552830167
0.18100034372473056,0.325247089147954,0.22044439719775294,0.18985518270217056
0.1790916501407959,0.325203557312626,0.2150294773235594,0.18531203379068342
0.17768446947268626,0.32524914347870026,0.2109503251351015,0.1822684432752787
0.1765596158633744,0.32525730354301097,0.20773757738007242,0.18010273881830333
0.17558504493314983,0.3251919003012169,0.20512387450000047,0.17848984820807348
0.17466153871209597,0.3251919005780348,0.2029444375206678,0.17724502497895622
0.6140288775624347,0.3251919004779347,0.20109152081983045,0.17625590270417235
