DG,DG_limit,Unif,QBDRAP
0.052021040815067754,0.052021040815067754,0.052021040815067754,0.0501501263209162
0.006754918717448821,0.03325529736532523,0.02281746367071419,0.01715327610733236
0.0042315856279002695,0.035396695853245286,0.018711463341384238,0.011404331164250658
0.003943861166622506,0.03587294193501411,0.016295557000340466,0.00831507529163239
0.0039428861396435975,0.036104280732727534,0.01463258448756638,0.0064276920622954314
0.003942164906328908,0.035984678992380725,0.0133896307859388,0.005146782600951971
0.003941955609786219,0.03595432003605903,0.012411426031208816,0.004217335373679243
0.003942481515284486,0.0360226585856252,0.011613669146989747,0.003512917734752208
0.003943878018751373,0.0358700472268309,0.01094582724569576,0.0032424681685569445
0.003965108044349032,0.035870047225248614,0.0103754037529048,0.003358690348597551
0.004082149719547243,0.035870047224117574,0.009880369047453597,0.0034204828939889964
