DG,Order_1,DG_limiter,QBDRAP
0.08240910967645211,0.08240910967645211,0.08240910967645211,0.08095180413818319
-1.417473904199429,-0.2161279249565026,-0.10645339866179121,-0.34425079385130825
-3.025036459387174,-0.3762212124530037,-0.10253251581535511,-0.6456247453814714
-3.3084605882132734,-0.48788718250825186,-0.10008397240823132,-0.87741112407374
-3.308108133347321,-0.5742497129684887,-0.09970547461927735,-1.0658936420862284
-3.3090794381505204,-0.6450140649467225,-0.09978792664389087,-1.2241535047436478
-3.310110373078233,-0.7051389237155257,-0.09863810887814575,-1.359821154896276
-3.309649798167223,-0.7575039627994175,-0.09142520620526207,-1.4780906254522588
-3.310404715395453,-0.8039403175799203,-0.09130193579617582,-1.582632958320506
-3.3102901560818174,-0.8456893900848249,-0.0920397194064492,-1.6761409284297792
-3.310336252412745,-0.8836320850948254,-0.09027230431080002,-1.7605823648010537
