DG,Order_1,DG_limiter,QBDRAP
0.060827185885276906,0.060827185885276906,0.060827185885276906,0.058719951309401656
-0.8610252870837987,-0.07714746977714247,-0.003581995552458598,-0.15207198807466393
-2.4798646478913264,-0.17501903447098188,-0.00010078469810895198,-0.37436409945776233
-4.021389328727451,-0.25073568697767423,0.0020707542694284567,-0.568310404064361
-4.051131345794737,-0.31373280326672076,0.0026348322428592637,-0.7328007195784279
-3.9685415668919566,-0.3677826739083005,0.0029332418906686157,-0.8748404214771537
-4.030127045129222,-0.4153913980414167,0.003745213650465071,-0.9992178900935856
-3.9749367442143635,-0.45806631887564564,0.005572354431102089,-1.1094799548945193
-3.979582884783516,-0.4961448955531187,0.005658214306812821,-1.2082935470881841
-3.952718781980822,-0.5310751845013373,0.005372228849696014,-1.2976307085227965
-3.935227067119987,-0.5634330883300133,0.005957891955584402,-1.37910093431355
