DG,DGₗ,QBDRAP
0.874996707274553,0.874996707274553,0.8749936728798016
0.8749791892340155,0.8749791892340161,0.8749936730153999
0.8749791892340155,0.87497918923401,0.8749936730461046
0.8749791892340176,0.8749791892339872,0.8749936730498944
0.8749791892340154,0.8749791892339993,0.8749936730533013
0.8749791892340155,0.8749791892339778,0.87499367305454
0.8749791892340182,0.8749791892340513,0.8749936730551787
0.874979189234018,0.8749791892340338,0.8749936730553801
0.8749791892340184,0.8749791892339536,0.874993673055164
0.8749791892340189,0.8749791892339834,0.8749936730552255
0.8749791892340039,0.8749791892339533,0.8749936730547218
