x,phase_1,phase_2
0.205,0.0597686,0.0575956
0.206,0.0600716,0.0578736
0.207,0.0603642,0.0581494
0.208,0.0606544,0.0584126
0.209,0.0609544,0.058676
0.21,0.0612582,0.058945
0.211,0.0615498,0.0592118
0.212,0.0618316,0.0594712
0.213,0.0621278,0.0597506
0.214,0.062419,0.0600188
0.215,0.062705,0.060286
0.216,0.0629862,0.0605524
0.217,0.0632776,0.0608212
0.218,0.0635682,0.061088
0.219,0.0638622,0.0613698
0.22,0.0641476,0.06164
0.221,0.0644536,0.0619094
0.222,0.0647502,0.0621832
0.223,0.0650604,0.062449
0.224,0.0653518,0.062719
0.225,0.065641,0.0629794
0.226,0.065935,0.063244
0.227,0.0662216,0.0635256
0.228,0.0665328,0.06379
0.229,0.0668212,0.0640504
0.23,0.0671028,0.0643148
0.231,0.0673854,0.0645788
0.232,0.0676714,0.064842
0.233,0.0679658,0.06511
0.234,0.0682484,0.0653774
0.235,0.0685448,0.0656394
0.236,0.0688266,0.0659024
0.237,0.0691158,0.0661756
0.238,0.0694108,0.0664518
0.239,0.0696972,0.0667094
0.24,0.0699942,0.0669762
0.241,0.0702866,0.0672526
0.242,0.0705832,0.0675156
0.243,0.0708692,0.067785
0.244,0.0711562,0.0680396
0.245,0.071454,0.0682994
0.246,0.071753,0.068568
0.247,0.0720366,0.0688382
0.248,0.0723322,0.0691076
0.249,0.0726252,0.0693682
0.25,0.0729154,0.0696222
0.251,0.073227,0.069896
0.252,0.0735238,0.0701696
0.253,0.073824,0.0704274
0.254,0.0741078,0.0707024
0.255,0.0743822,0.070973
0.256,0.0746578,0.0712444
0.257,0.0749518,0.071506
0.258,0.0752622,0.0717848
0.259,0.0755656,0.0720588
0.26,0.075857,0.072319
0.261,0.0761508,0.072585
0.262,0.0764408,0.072855
0.263,0.076728,0.0731222
0.264,0.0770392,0.073392
0.265,0.0773238,0.0736586
0.266,0.0776216,0.0739228
0.267,0.0779106,0.0741882
0.268,0.0782118,0.07445
0.269,0.0784992,0.0747072
0.27,0.0787852,0.074985
0.271,0.07908,0.0752444
0.272,0.0793736,0.075517
0.273,0.0796624,0.0757872
0.274,0.0799514,0.0760424
0.275,0.0802458,0.0763126
0.276,0.0805516,0.0765886
0.277,0.0808384,0.076856
0.278,0.0811278,0.0771212
0.279,0.081423,0.077369
0.28,0.0817308,0.077632
0.281,0.0820356,0.077886
0.282,0.0823384,0.0781474
0.283,0.0826374,0.078392
0.284,0.0829334,0.0786556
0.285,0.0832222,0.0789234
0.286,0.0835128,0.079187
0.287,0.0837978,0.0794524
0.288,0.0840906,0.079699
0.289,0.0843824,0.0799692
0.29,0.0846642,0.0802172
0.291,0.0849482,0.0804796
0.292,0.0852408,0.0807522
0.293,0.085542,0.081009
0.294,0.0858292,0.0812796
0.295,0.0861236,0.0815522
0.296,0.0864114,0.0818078
0.297,0.0867038,0.0820622
0.298,0.0869932,0.0823118
0.299,0.0873054,0.0825724
0.3,0.0875842,0.0828354
0.301,0.0878666,0.0830994
