phase_2,phase_4
0.0,0.347171
1.4e-6,0.3471892
3.0e-6,0.3472082
5.0e-6,0.3472254
7.6e-6,0.3472464
8.8e-6,0.3472654
1.1e-5,0.347285
1.26e-5,0.3472974
1.32e-5,0.3473152
1.52e-5,0.3473358
1.9e-5,0.3473522
2.14e-5,0.3473706
2.38e-5,0.3473922
2.8e-5,0.3474096
3.02e-5,0.3474302
3.26e-5,0.3474436
3.36e-5,0.3474568
3.64e-5,0.3474732
3.7e-5,0.3474962
4.0e-5,0.347514
4.26e-5,0.3475292
4.48e-5,0.3475486
4.6e-5,0.3475646
4.92e-5,0.3475804
5.1e-5,0.3475948
5.32e-5,0.3476116
5.4e-5,0.3476296
5.66e-5,0.347648
5.76e-5,0.347663
5.86e-5,0.3476786
5.96e-5,0.3476946
6.18e-5,0.3477138
6.3e-5,0.3477312
6.54e-5,0.3477464
6.7e-5,0.3477728
6.84e-5,0.3477872
7.1e-5,0.3478046
7.26e-5,0.3478206
7.68e-5,0.347834
7.9e-5,0.3478502
8.0e-5,0.3478646
8.1e-5,0.347881
8.28e-5,0.3478968
8.52e-5,0.3479162
8.74e-5,0.347935
8.82e-5,0.347956
8.92e-5,0.3479726
9.22e-5,0.3479928
9.32e-5,0.3480112
9.48e-5,0.3480272
9.76e-5,0.348044
9.86e-5,0.3480648
0.0001,0.3480814
0.000103,0.3481012
0.0001048,0.3481154
0.0001072,0.3481332
0.0001092,0.3481486
0.0001128,0.3481684
0.0001178,0.3481862
0.0001188,0.348205
0.0001194,0.3482216
0.0001214,0.3482408
0.0001238,0.3482556
0.0001264,0.3482794
0.000128,0.3482982
0.0001294,0.3483152
0.0001312,0.3483322
0.0001322,0.3483462
0.0001332,0.348367
0.000135,0.348388
0.0001364,0.3484064
0.0001388,0.348429
0.0001414,0.3484494
0.0001424,0.3484682
0.0001444,0.3484876
0.000146,0.3485076
0.0001476,0.3485256
0.000149,0.348539
0.0001508,0.348556
0.0001542,0.3485724
0.0001554,0.3485846
0.0001574,0.3486028
0.0001608,0.3486198
0.000163,0.3486318
0.0001636,0.3486472
0.0001654,0.3486628
0.0001668,0.3486826
0.0001696,0.3487054
0.0001726,0.3487258
0.0001754,0.3487458
0.0001762,0.3487632
0.0001782,0.3487852
0.0001798,0.3488088
0.000182,0.3488278
0.0001834,0.3488464
0.0001844,0.3488738
0.0001876,0.348898
0.0001888,0.3489162
0.0001916,0.3489348
0.0001938,0.3489534
0.0001954,0.3489776
0.0001968,0.3489956
0.0001986,0.3490154
0.0002026,0.3490326
0.000204,0.349046
0.0002052,0.3490616
0.0002066,0.3490804
0.0002098,0.3491012
