phase_2,phase_4
0.0,0.3466062
1.8e-6,0.3466216
2.8e-6,0.3466444
4.4e-6,0.3466646
6.6e-6,0.3466852
9.2e-6,0.3467048
1.18e-5,0.34672
1.42e-5,0.346737
1.62e-5,0.3467518
2.0e-5,0.3467706
2.38e-5,0.3467854
2.54e-5,0.3468038
2.8e-5,0.3468204
3.06e-5,0.346834
3.12e-5,0.3468536
3.36e-5,0.3468688
3.44e-5,0.3468856
3.58e-5,0.3469026
3.7e-5,0.346923
3.98e-5,0.34694
4.3e-5,0.346956
4.68e-5,0.3469782
4.82e-5,0.3469994
5.1e-5,0.3470176
5.38e-5,0.3470348
5.46e-5,0.3470488
5.64e-5,0.3470694
5.92e-5,0.3470888
6.02e-5,0.3471096
6.08e-5,0.3471276
6.2e-5,0.3471432
6.42e-5,0.3471658
6.58e-5,0.3471876
6.8e-5,0.347204
6.92e-5,0.3472236
7.12e-5,0.3472394
7.36e-5,0.3472544
7.64e-5,0.3472686
8.04e-5,0.3472862
8.36e-5,0.3473044
8.44e-5,0.3473252
8.54e-5,0.3473418
8.74e-5,0.3473554
9.0e-5,0.3473736
9.14e-5,0.3473946
9.26e-5,0.3474116
9.44e-5,0.3474318
9.68e-5,0.3474538
9.98e-5,0.3474692
0.0001018,0.347486
0.0001058,0.3475008
0.0001074,0.3475184
0.0001088,0.3475314
0.0001112,0.3475514
0.0001136,0.347565
0.0001158,0.3475818
0.0001184,0.3475984
0.0001212,0.3476194
0.0001238,0.3476386
0.000126,0.347658
0.000129,0.3476746
0.0001304,0.3476926
0.000132,0.3477052
0.0001352,0.3477292
0.0001362,0.3477504
0.0001374,0.3477684
0.0001394,0.3477882
0.0001408,0.347803
0.0001434,0.347818
0.000147,0.3478412
0.0001496,0.347863
0.000151,0.347885
0.0001548,0.3479056
0.0001566,0.3479252
0.000158,0.3479398
0.000159,0.3479576
0.0001606,0.3479756
0.0001608,0.3479922
0.000163,0.3480072
0.0001656,0.348025
0.0001668,0.3480398
0.0001688,0.3480614
0.0001728,0.3480794
0.0001748,0.348093
0.0001754,0.3481104
0.0001774,0.348126
0.000179,0.3481404
0.000182,0.348161
0.0001844,0.3481786
0.0001868,0.3481972
0.0001874,0.3482152
0.0001896,0.3482322
0.0001912,0.348252
0.0001932,0.3482708
0.0001944,0.3482946
0.0001956,0.3483176
0.0001992,0.3483406
0.0001998,0.348363
0.0002012,0.3483782
0.0002034,0.348396
0.0002056,0.3484162
0.0002086,0.3484338
0.00021,0.348454
0.000214,0.3484684
0.0002168,0.3484796
0.0002178,0.3485014
0.0002188,0.3485184
0.0002204,0.3485374
0.0002232,0.348556
0.0002268,0.348572
0.0002292,0.348586
0.0002316,0.3486032
0.0002336,0.3486222
0.000235,0.3486426
0.0002376,0.3486582
0.0002394,0.3486746
0.0002422,0.3486958
0.0002454,0.3487106
0.0002472,0.3487292
0.0002478,0.348749
0.000249,0.3487666
0.0002506,0.3487852
0.0002538,0.3487996
0.0002558,0.3488188
0.000257,0.348838
0.0002594,0.3488528
0.0002612,0.3488686
0.000263,0.3488838
0.0002636,0.3489044
0.0002638,0.3489242
0.000265,0.3489396
0.000267,0.3489646
0.0002674,0.348982
0.0002692,0.349002
0.0002702,0.3490228
0.0002712,0.3490394
0.0002724,0.3490574
0.0002742,0.3490714
0.0002756,0.3490876
0.0002758,0.349104
0.0002776,0.3491202
0.0002792,0.34914
0.0002814,0.3491562
0.0002832,0.3491744
0.0002858,0.3491968
0.000286,0.34921
0.0002878,0.3492294
0.0002916,0.3492488
0.0002924,0.349267
0.0002926,0.3492856
0.000295,0.3493018
0.0002984,0.3493184
0.000301,0.3493346
0.0003034,0.3493526
0.000304,0.3493666
0.0003056,0.3493828
0.0003076,0.3494028
0.0003086,0.349424
0.000311,0.3494416
0.0003128,0.349457
0.0003144,0.3494792
0.000316,0.3494968
0.000319,0.3495152
0.0003204,0.3495332
0.0003226,0.3495476
0.0003252,0.3495674
0.0003282,0.3495804
0.00033,0.3495988
0.000331,0.3496212
0.0003336,0.3496386
0.0003344,0.3496546
0.0003364,0.3496726
0.0003386,0.3496886
0.0003424,0.3497048
0.0003446,0.3497216
0.0003472,0.349742
0.0003482,0.349759
0.0003502,0.3497758
0.0003522,0.3497936
0.0003568,0.3498186
0.0003584,0.3498374
0.000361,0.349856
0.0003646,0.3498758
0.0003666,0.349889
0.000368,0.3499106
