phase_2,phase_4
0.0,0.3467392
1.8e-6,0.3467556
2.4e-6,0.346774
4.0e-6,0.346792
7.0e-6,0.346813
9.8e-6,0.3468326
1.16e-5,0.3468482
1.3e-5,0.346866
1.4e-5,0.3468866
1.68e-5,0.3469074
1.92e-5,0.3469182
2.04e-5,0.3469374
2.3e-5,0.346955
2.56e-5,0.3469738
2.74e-5,0.3469908
3.06e-5,0.347008
3.26e-5,0.347026
3.44e-5,0.3470432
3.56e-5,0.3470628
3.92e-5,0.34708
4.18e-5,0.3471012
4.58e-5,0.3471206
4.72e-5,0.347141
4.9e-5,0.347157
5.0e-5,0.3471712
5.22e-5,0.3471858
5.34e-5,0.347202
5.58e-5,0.3472222
5.68e-5,0.3472392
5.76e-5,0.3472602
5.84e-5,0.3472802
6.18e-5,0.3473016
6.34e-5,0.347321
6.52e-5,0.3473374
6.6e-5,0.3473584
6.82e-5,0.3473738
7.04e-5,0.3473892
7.18e-5,0.3474064
7.52e-5,0.3474226
7.86e-5,0.3474408
8.0e-5,0.3474556
8.12e-5,0.34747
8.22e-5,0.3474818
8.34e-5,0.3474962
8.56e-5,0.34752
8.6e-5,0.3475398
8.68e-5,0.3475544
9.08e-5,0.3475772
9.26e-5,0.3475936
9.5e-5,0.347608
9.72e-5,0.3476212
9.94e-5,0.3476404
0.0001,0.347657
0.0001024,0.3476746
0.0001052,0.3476908
0.0001086,0.3477088
0.0001114,0.3477274
0.0001134,0.3477482
0.0001162,0.3477676
0.0001182,0.3477878
0.00012,0.3478026
0.0001232,0.347823
0.0001262,0.3478344
0.0001282,0.3478504
0.0001304,0.3478738
0.0001322,0.3478898
0.000135,0.3479064
0.000136,0.3479212
0.0001396,0.3479382
0.0001414,0.3479606
0.0001432,0.3479828
0.0001444,0.348003
0.000148,0.3480208
0.0001502,0.3480424
0.000153,0.3480634
0.0001546,0.348084
0.000156,0.3480984
0.0001572,0.3481164
0.0001602,0.3481326
0.0001626,0.348149
0.000164,0.348161
0.0001678,0.3481804
