phase_2,phase_4
0.0,0.3472378
2.0e-6,0.3472566
3.4e-6,0.3472762
4.4e-6,0.347291
7.6e-6,0.3473104
1.0e-5,0.3473322
1.08e-5,0.347348
1.2e-5,0.3473642
1.28e-5,0.3473802
1.5e-5,0.3474042
1.82e-5,0.3474222
1.94e-5,0.347439
2.2e-5,0.3474552
2.36e-5,0.347471
2.54e-5,0.3474878
2.86e-5,0.347502
2.98e-5,0.3475148
3.24e-5,0.3475324
3.34e-5,0.3475522
3.68e-5,0.3475682
3.92e-5,0.3475852
4.2e-5,0.3476024
4.48e-5,0.3476208
4.64e-5,0.3476418
4.84e-5,0.3476574
4.94e-5,0.347675
5.16e-5,0.3476958
5.46e-5,0.3477128
5.54e-5,0.3477274
5.68e-5,0.3477482
5.78e-5,0.3477668
5.8e-5,0.3477868
6.02e-5,0.3478044
6.3e-5,0.3478234
6.42e-5,0.347845
6.56e-5,0.3478562
6.74e-5,0.347872
6.96e-5,0.3478892
7.32e-5,0.3479076
7.52e-5,0.347928
7.54e-5,0.3479498
7.68e-5,0.347964
7.88e-5,0.3479798
8.12e-5,0.3479954
8.42e-5,0.348012
8.5e-5,0.3480274
8.56e-5,0.348046
8.98e-5,0.348068
9.12e-5,0.3480874
9.18e-5,0.348104
9.4e-5,0.3481212
9.58e-5,0.3481382
9.62e-5,0.3481548
9.88e-5,0.3481756
0.0001018,0.3481908
0.0001044,0.3482108
0.0001066,0.3482302
0.0001078,0.348252
0.0001126,0.3482692
0.0001136,0.3482876
0.0001146,0.3483032
0.000117,0.348321
0.0001196,0.3483358
0.0001228,0.3483554
0.0001242,0.348374
0.000126,0.3483904
0.0001304,0.3484106
0.0001314,0.3484274
0.0001322,0.348446
0.000134,0.3484698
0.0001358,0.3484894
0.0001364,0.3485126
0.0001384,0.3485292
0.0001388,0.3485492
0.0001402,0.3485656
0.000143,0.3485836
0.0001454,0.348603
0.0001466,0.348619
0.0001478,0.3486338
0.0001512,0.348648
0.0001524,0.3486612
0.0001536,0.3486796
0.0001566,0.3486956
0.000159,0.3487084
0.0001598,0.3487236
0.0001614,0.34874
0.000163,0.3487564
0.0001646,0.3487756
0.0001668,0.3487952
0.0001698,0.3488124
0.0001702,0.3488322
0.0001732,0.348851
0.0001742,0.3488726
0.0001756,0.3488944
0.0001766,0.3489148
0.0001778,0.3489376
0.0001804,0.3489582
0.0001822,0.3489758
0.0001846,0.3489946
0.0001884,0.3490174
0.00019,0.349037
0.0001918,0.3490546
0.0001934,0.349074
0.0001962,0.3490906
0.0001968,0.349105
0.0001988,0.349122
0.0002012,0.34914
0.0002042,0.3491602
0.0002076,0.3491814
0.0002102,0.3491982
0.000212,0.349214
0.0002136,0.3492332
0.0002154,0.3492512
0.0002168,0.3492742
0.0002192,0.349291
0.0002224,0.3493068
0.0002266,0.3493238
0.0002292,0.3493418
0.0002306,0.3493632
0.0002318,0.3493796
0.0002322,0.3494002
0.0002334,0.349418
0.0002358,0.3494306
0.0002376,0.3494488
0.0002382,0.3494658
0.00024,0.3494792
0.0002418,0.3494974
0.0002424,0.349514
0.0002442,0.3495286
0.000245,0.3495512
0.0002456,0.3495692
0.0002468,0.3495908
0.0002486,0.3496062
0.0002506,0.3496252
0.0002518,0.3496418
0.000254,0.3496594
0.0002558,0.3496776
0.000257,0.3496932
0.0002588,0.3497066
0.0002596,0.3497226
0.0002626,0.3497408
0.0002638,0.3497596
0.0002662,0.3497806
0.0002678,0.3497994
0.0002696,0.349819
0.000272,0.3498338
0.0002744,0.3498536
0.0002768,0.3498712
0.000278,0.349892
0.000279,0.3499118
0.0002814,0.3499254
0.0002838,0.3499402
0.0002864,0.349965
0.0002884,0.3499804
0.0002894,0.3499984
0.0002904,0.3500162
0.0002934,0.3500342
0.000295,0.3500536
0.0002964,0.3500706
0.000299,0.350086
0.0003012,0.3501076
0.0003026,0.3501248
0.0003054,0.3501426
0.0003068,0.350158
0.0003086,0.3501756
0.0003088,0.3501974
0.0003116,0.3502086
0.0003142,0.3502218
0.0003176,0.350241
0.00032,0.350258
0.0003224,0.3502728
0.0003236,0.3502862
0.000326,0.350301
0.0003264,0.3503202
0.0003274,0.3503396
0.0003304,0.3503614
0.000332,0.3503798
0.0003358,0.3503994
0.0003372,0.3504126
0.000339,0.3504364
0.0003404,0.3504552
0.0003424,0.3504762
0.000345,0.350494
0.000347,0.3505076
0.000348,0.350533
0.0003534,0.350553
0.0003552,0.3505698
0.0003574,0.3505906
0.0003598,0.3506092
0.000361,0.3506218
0.0003616,0.3506428
0.0003628,0.3506596
0.000364,0.350678
0.0003648,0.3506972
0.0003664,0.3507172
0.0003682,0.3507388
0.0003704,0.3507584
0.0003726,0.3507776
0.0003744,0.3507954
0.0003776,0.3508114
0.0003808,0.3508294
