phase_2,phase_4
0.0,0.3468634
1.4e-6,0.3468806
3.0e-6,0.3469
4.6e-6,0.3469168
8.0e-6,0.3469354
9.6e-6,0.3469524
1.06e-5,0.3469694
1.26e-5,0.3469844
1.32e-5,0.347
1.68e-5,0.3470248
1.86e-5,0.3470424
1.96e-5,0.3470618
2.32e-5,0.3470794
2.56e-5,0.347093
2.72e-5,0.3471118
3.08e-5,0.3471298
3.3e-5,0.3471432
3.44e-5,0.3471612
3.54e-5,0.347181
3.94e-5,0.347196
4.16e-5,0.347214
4.36e-5,0.3472328
4.54e-5,0.3472468
4.74e-5,0.3472666
4.98e-5,0.347285
5.14e-5,0.3472994
5.32e-5,0.3473174
5.42e-5,0.3473352
5.58e-5,0.3473498
5.76e-5,0.3473702
5.88e-5,0.3473892
6.22e-5,0.347409
6.46e-5,0.347429
6.72e-5,0.3474482
7.0e-5,0.3474698
7.24e-5,0.3474826
7.52e-5,0.347494
7.68e-5,0.3475076
7.98e-5,0.3475266
8.26e-5,0.3475436
8.36e-5,0.347558
8.5e-5,0.3475754
8.66e-5,0.3475872
8.84e-5,0.347602
9.08e-5,0.3476214
9.12e-5,0.347639
9.32e-5,0.347659
9.6e-5,0.3476792
9.74e-5,0.3476968
9.84e-5,0.3477126
0.0001,0.3477312
0.0001018,0.3477528
0.0001028,0.3477692
0.0001038,0.3477912
0.0001054,0.347807
0.0001076,0.347824
0.0001092,0.3478396
0.0001116,0.3478544
0.0001144,0.3478742
0.0001158,0.3478948
0.0001178,0.347908
0.0001188,0.3479286
0.0001208,0.3479418
0.0001242,0.3479624
0.0001264,0.3479834
0.0001278,0.3480022
0.00013,0.3480232
0.0001308,0.3480398
0.0001322,0.3480586
0.0001338,0.3480816
0.000137,0.348102
0.0001382,0.348124
0.000143,0.34814
0.0001442,0.3481614
0.000146,0.3481796
0.0001478,0.3481964
0.0001502,0.3482178
0.0001512,0.3482306
0.0001522,0.3482482
0.0001554,0.3482638
0.0001558,0.3482784
0.000158,0.3482966
0.0001618,0.3483086
0.0001642,0.348322
0.000165,0.3483422
0.0001664,0.3483598
0.000168,0.348375
0.0001706,0.348392
0.0001732,0.3484134
0.0001764,0.3484324
0.0001768,0.3484514
0.0001778,0.3484696
0.000179,0.3484932
0.0001808,0.3485108
0.0001814,0.348528
0.0001824,0.3485552
0.0001862,0.3485766
0.0001872,0.348596
0.00019,0.3486178
0.0001922,0.3486414
0.0001934,0.3486604
0.0001956,0.3486766
0.0001972,0.348696
0.0002004,0.3487106
0.0002022,0.3487254
0.0002048,0.3487438
0.0002066,0.348762
0.000209,0.3487832
