phase_2,phase_4
0.0,0.3472526
1.4e-6,0.3472714
2.8e-6,0.3472894
4.6e-6,0.3473084
8.2e-6,0.347325
8.8e-6,0.3473444
1.02e-5,0.3473616
1.34e-5,0.3473802
1.42e-5,0.347396
1.64e-5,0.3474186
1.92e-5,0.3474354
2.08e-5,0.3474526
2.36e-5,0.34747
2.68e-5,0.3474904
2.94e-5,0.3475082
3.34e-5,0.347526
3.5e-5,0.3475414
3.7e-5,0.347559
3.78e-5,0.3475802
4.04e-5,0.3475962
4.4e-5,0.3476168
4.68e-5,0.3476318
4.8e-5,0.3476502
5.06e-5,0.347668
5.26e-5,0.3476834
5.36e-5,0.347698
5.46e-5,0.3477154
5.74e-5,0.3477324
5.78e-5,0.3477482
5.98e-5,0.347767
6.06e-5,0.3477814
6.3e-5,0.3478056
6.54e-5,0.3478274
6.78e-5,0.3478444
6.98e-5,0.3478648
7.16e-5,0.3478762
7.26e-5,0.3478926
7.52e-5,0.3479068
7.98e-5,0.3479236
8.26e-5,0.3479426
8.3e-5,0.3479594
8.5e-5,0.3479726
8.7e-5,0.3479926
9.1e-5,0.348009
9.2e-5,0.348028
9.24e-5,0.3480494
9.42e-5,0.3480682
9.7e-5,0.348088
9.8e-5,0.3481044
9.96e-5,0.3481222
0.0001022,0.3481386
0.0001042,0.3481558
0.0001048,0.348175
0.000107,0.3481944
0.0001084,0.3482082
0.0001106,0.3482268
0.0001138,0.3482422
0.0001148,0.3482616
0.000117,0.3482826
0.000119,0.348301
0.0001212,0.3483188
0.0001234,0.3483354
0.0001252,0.3483508
0.000127,0.3483716
0.0001288,0.3483904
0.0001306,0.3484038
0.0001326,0.3484212
0.000134,0.3484374
0.0001358,0.348455
0.0001378,0.3484734
0.0001392,0.3484914
0.0001414,0.3485118
0.0001442,0.3485308
0.0001452,0.3485516
0.0001474,0.3485684
0.0001494,0.3485908
0.0001524,0.34861
0.0001536,0.3486234
0.0001554,0.348646
0.0001598,0.3486614
0.00016,0.348676
0.000163,0.3486954
0.0001658,0.3487104
0.0001674,0.348725
0.0001688,0.3487396
0.00017,0.3487566
0.000172,0.348773
0.0001734,0.3487908
0.0001766,0.3488092
0.0001794,0.3488216
0.0001798,0.34884
0.0001816,0.3488596
0.000183,0.3488836
0.0001846,0.3489046
0.000185,0.3489198
0.0001856,0.348945
0.0001878,0.3489686
0.0001894,0.3489888
0.000191,0.3490078
0.000195,0.349028
0.000196,0.3490528
0.0001982,0.3490706
0.0001996,0.3490922
0.000202,0.3491066
0.0002036,0.3491222
0.0002058,0.34914
0.000207,0.3491588
0.0002088,0.3491788
0.0002102,0.3491974
0.000214,0.3492138
0.000216,0.3492292
0.0002182,0.349249
0.0002198,0.3492698
0.0002218,0.3492868
0.0002252,0.3493054
0.0002286,0.3493224
0.0002312,0.3493394
0.0002342,0.3493582
0.0002356,0.3493804
0.0002362,0.349402
0.0002366,0.3494198
0.000238,0.349433
0.0002396,0.3494458
0.0002424,0.349467
0.0002444,0.3494858
0.0002454,0.349501
0.0002486,0.3495178
0.0002496,0.3495352
0.0002502,0.3495572
0.0002514,0.3495768
0.000252,0.3495932
0.0002548,0.349613
0.0002556,0.3496292
0.0002588,0.3496456
0.0002606,0.3496622
0.0002634,0.3496782
0.0002668,0.3496958
0.0002688,0.3497124
0.0002696,0.3497284
0.0002708,0.349746
0.0002734,0.3497632
0.000274,0.3497784
0.0002752,0.3497992
0.0002768,0.3498164
0.000278,0.3498428
0.0002786,0.349858
0.0002808,0.3498782
0.0002844,0.3498986
0.000286,0.3499176
0.000288,0.3499342
0.0002918,0.3499486
0.000294,0.3499626
0.0002966,0.3499826
0.000298,0.349996
0.0002982,0.3500112
0.0003008,0.3500274
0.000304,0.3500474
0.0003056,0.3500664
0.0003096,0.3500806
0.0003116,0.3500996
0.0003138,0.3501224
0.000316,0.3501412
0.0003194,0.350159
0.0003206,0.3501764
0.000323,0.3501916
0.0003242,0.3502058
0.000327,0.3502202
0.0003298,0.3502344
0.0003314,0.3502566
0.0003346,0.3502754
0.000336,0.3502902
0.0003368,0.350305
0.000339,0.3503208
0.0003408,0.3503352
0.000343,0.350353
0.0003452,0.350368
0.000346,0.3503872
0.0003474,0.350406
0.0003492,0.3504216
0.0003516,0.350442
0.000353,0.3504596
0.0003548,0.3504758
0.0003586,0.350494
0.0003598,0.3505082
0.000361,0.3505298
0.0003642,0.3505436
0.0003668,0.3505602
0.0003692,0.3505826
0.0003706,0.3506018
0.0003712,0.3506136
0.000372,0.3506328
0.0003734,0.3506538
0.0003748,0.3506734
0.0003762,0.350694
0.0003792,0.3507154
0.0003812,0.350733
0.0003834,0.3507516
0.0003868,0.35077
0.0003888,0.3507882
0.0003918,0.35081
0.0003948,0.3508262
0.000396,0.3508416
0.0003972,0.3508562
0.000399,0.3508764
0.0004008,0.3508958
0.0004014,0.3509182
0.0004036,0.3509354
0.000404,0.350949
0.0004052,0.3509682
0.000407,0.35099
0.00041,0.3510022
0.000413,0.3510224
0.0004144,0.351041
0.0004186,0.3510616
0.0004196,0.3510762
0.000422,0.3510926
0.0004232,0.3511098
0.0004232,0.3511328
0.0004254,0.351157
0.0004278,0.3511746
0.0004316,0.3511884
0.0004344,0.3512064
0.0004354,0.351223
0.0004366,0.3512454
0.0004384,0.3512646
0.00044,0.3512814
0.0004408,0.3512976
0.0004422,0.351318
0.0004438,0.3513398
0.0004458,0.3513578
0.0004474,0.3513728
0.00045,0.351396
0.0004518,0.351413
0.0004528,0.3514254
0.0004544,0.3514434
0.0004558,0.351461
0.0004582,0.3514794
0.0004588,0.3514992
0.0004608,0.3515198
0.0004648,0.3515392
0.0004682,0.3515586
0.0004708,0.351574
0.0004738,0.351591
0.0004758,0.3516046
0.000478,0.3516186
0.0004796,0.3516374
0.0004814,0.35166
0.0004838,0.3516734
0.0004878,0.3516894
0.0004896,0.3517028
0.0004912,0.3517266
0.0004932,0.3517462
0.0004948,0.3517662
0.0004964,0.3517884
0.0004996,0.3518114
0.0005012,0.35183
0.0005038,0.3518448
0.0005076,0.3518598
0.0005108,0.3518774
0.0005114,0.3518988
0.0005128,0.3519188
0.0005148,0.351937
0.0005172,0.3519534
0.0005172,0.3519734
