unnormalised,naive,normalised
-0.6938911967889708,-0.5407842180403859,-0.5407842180403859
-0.8855434647359226,-0.8134571229289994,-0.8054419553736837
-1.1054262235137915,-1.1461572886506446,-1.1464482935828442
-1.309729158996443,-1.4211002722517017,-1.4196049926627026
-1.4883352171194821,-1.6328983387905782,-1.6297103015006154
-1.6456066420450237,-1.8050787594554831,-1.8008561759328545
-1.7824003661296555,-1.9470218612272054,-1.9430591101497585
-1.9018866283053713,-2.0643118771298306,-2.0607153820895623
-2.008490617147662,-2.169031023615764,-2.1657546730201114
-2.10398066298782,-2.263028335981438,-2.260079657823257
-2.1905456152547025,-2.348470040078172,-2.3457991092675767
